c_fips,county,state,total,per_capita
01003,Baldwin,AL,5,2.2398021806714032e-05
01003,Baldwin,FL,2,8.959208722685613e-06
01009,Blount,AL,1,1.729325908760765e-05
01015,Calhoun,AL,1,8.802429470533868e-06
01017,Chambers,AL,2,6.0143140674806036e-05
01039,Covington,AL,1,2.699128181597344e-05
01043,Cullman,AL,1,1.1937732785789323e-05
01045,Dale,AL,2,4.067355405515334e-05
01049,DeKalb,AL,1,1.3983471536643687e-05
01065,Hale,AL,1,6.825472663981981e-05
01069,Houston,AL,2,1.888895185206173e-05
01073,Jefferson,AL,3,4.555303664134424e-06
01079,Lawrence,AL,1,3.0372980196816912e-05
01081,Lee,AL,1,6.077475659709983e-06
01083,Limestone,AL,1,1.010969013799727e-05
01085,Lowndes,AL,1,0.00010281719103434094
01089,Madison,AL,7,1.877133563416276e-05
01095,Marshall,AL,1,1.0333354000041333e-05
01097,Mobile,AL,5,1.2100384792236393e-05
01101,Montgomery,AL,2,8.830567893821251e-06
01103,Morgan,AL,1,8.355684790146977e-06
01109,Pike,AL,1,3.01987074953192e-05
01115,St. Clair,AL,1,1.1171686477790688e-05
01117,Shelby,AL,2,9.18687012521704e-06
01121,Talladega,AL,1,1.2503438445572532e-05
01123,Tallapoosa,AL,1,2.477271038224292e-05
01125,Tuscaloosa,AL,1,4.776575672900098e-06
01127,Walker,AL,1,1.574282520741172e-05
02070,Dillingham,AK,1,0.0002034174125305126
02122,Kenai Peninsula,AK,1,1.7033453703072834e-05
04001,Apache,AZ,1,1.391072099266905e-05
04003,Cochise,AZ,4,3.1765696224647004e-05
04005,Coconino,AZ,5,3.484903398477794e-05
04007,Gila,AZ,4,7.404939094375948e-05
04012,La Paz,AZ,2,9.475080538184574e-05
04013,Maricopa,AZ,167,3.723179175879863e-05
04013,Maricopa,OR,1,2.2294486083112952e-07
04015,Mohave,AK,1,4.712957333597259e-06
04015,Mohave,AZ,16,7.540731733755614e-05
04017,Navajo,AZ,4,3.6060726263026935e-05
04019,Pima,AZ,13,1.2413120095027208e-05
04021,Pinal,AZ,3,6.482435840091272e-06
04025,Yavapai,AZ,9,3.828174513715498e-05
05005,Baxter,AR,1,2.384813507583707e-05
05007,Benton,AR,6,2.1494513525422636e-05
05019,Clark,AR,2,8.960573476702509e-05
05021,Clay,AR,1,6.872379905161158e-05
05027,Columbia,AR,2,8.526239502067613e-05
05029,Conway,AR,1,4.797083373309028e-05
05031,Craighead,AR,4,3.625421455244172e-05
05033,Crawford,AR,2,3.161705423905655e-05
05051,Garland,AR,3,3.018533797516753e-05
05059,Hot Spring,AR,2,5.922240975985313e-05
05063,Independence,AR,1,2.6437541308658295e-05
05065,Izard,AR,1,7.337295472888693e-05
05069,Jefferson,AR,3,4.489405004190111e-05
05071,Johnson,AR,3,0.00011287531040710362
05077,Lee,AR,1,0.00011290504685559444
05085,Lonoke,AR,8,0.00010912711945327313
05089,Marion,AR,1,5.9901761111776687e-05
05097,Montgomery,AR,1,0.00011128421989761852
05103,Ouachita,AR,1,4.2767941151312976e-05
05107,Phillips,AR,1,5.623664379709819e-05
05119,Pulaski,AR,7,1.786119807813509e-05
05121,Randolph,AR,1,5.568548836173293e-05
05123,St. Francis,AR,1,4.000960230455309e-05
05125,Saline,AR,4,3.266986286825061e-05
05139,Union,AR,2,5.1703634765524014e-05
05145,White,AR,3,3.8093786903356064e-05
06001,Alameda,CA,23,1.3761503569913523e-05
06005,Amador,CA,2,5.03119339907426e-05
06009,Calaveras,CA,3,6.535235813092256e-05
06013,Contra Costa,CA,16,1.3870515272304223e-05
06017,El Dorado,CA,3,1.5556696379956753e-05
06019,Fresno,CA,5,5.004499044641132e-06
06023,Humboldt,CA,7,5.163841307779696e-05
06025,Imperial,CA,3,1.655492095025246e-05
06027,Inyo,CA,4,0.00022174178169521593
06029,Kern,CA,2,2.221723568710134e-06
06031,Kings,CA,2,1.3077023669412842e-05
06033,Lake,CA,1,1.553132668592551e-05
06035,Lassen,CA,1,3.270859909070094e-05
06037,Los Angeles,AR,1,9.961045339988905e-08
06037,Los Angeles,CA,152,1.5140788916783137e-05
06039,Madera,CA,1,6.356188066892524e-06
06041,Marin,CA,4,1.5454397935292436e-05
06045,Mendocino,CA,2,2.305502080715628e-05
06051,Mono,CA,2,0.00013846579894765993
06053,Monterey,CA,4,9.215294624488262e-06
06055,Napa,NV,1,7.259844348937159e-06
06057,Nevada,CA,17,0.0001704175229311814
06059,Orange,CA,77,2.4246683872365456e-05
06059,Orange,ID,1,3.1489199834240855e-07
06061,Placer,CA,10,2.5104875617893753e-05
06065,Riverside,CA,18,7.2858388388639595e-06
06067,Sacramento,CA,20,1.2886116369362485e-05
06071,San Bernardino,CA,23,1.0550047360538694e-05
06073,San Diego,CA,56,1.677485449311482e-05
06073,San Diego,PA,1,2.995509730913361e-07
06075,San Francisco,CA,13,1.4746769606680968e-05
