c_fips,county,state,total,per_capita
01003,Baldwin,AL,2,9.180418168047554e-06
01009,Blount,AL,1,1.730972287133683e-05
01015,Calhoun,AL,1,8.746534185828866e-06
01025,Clarke,AL,1,4.1809515845806506e-05
01031,Coffee,AL,1,1.9249278152069297e-05
01043,Cullman,AL,1,1.1987820374499509e-05
01055,Etowah,AL,3,2.923663155022366e-05
01073,Jefferson,AL,6,9.098780915003738e-06
01089,Madison,AL,5,1.362382971302765e-05
01097,Mobile,AL,3,7.247987475477642e-06
01101,Montgomery,AL,2,8.82986613922933e-06
01103,Morgan,AL,1,8.389050611142337e-06
01107,Pickens,AL,1,5.005005005005005e-05
01117,Shelby,AL,2,9.2771693500879e-06
01121,Talladega,AL,1,1.2478630345533274e-05
01123,Tallapoosa,AL,1,2.467003823855927e-05
01125,Tuscaloosa,AL,1,4.8003302627220756e-06
02020,Anchorage,AK,1,3.4420919658131427e-06
02090,Fairbanks North Star,AK,1,1.0145589205093085e-05
02195,Petersburg,AK,1,0.00030826140567200987
04003,Cochise,AZ,1,7.910703973546607e-06
04005,Coconino,AZ,4,2.806564554492959e-05
04007,Gila,AZ,2,3.717403022248657e-05
04013,Maricopa,AZ,36,8.177352232405803e-06
04015,Mohave,AZ,13,6.211417541043136e-05
04017,Navajo,AZ,3,2.721285898296475e-05
04019,Pima,AK,1,9.647350741013011e-07
04019,Pima,AZ,11,1.0612085815114312e-05
04021,Pinal,AZ,9,2.01429703271666e-05
04025,Yavapai,AZ,5,2.1572925116062338e-05
05005,Baxter,AR,1,2.4024601191620218e-05
05015,Carroll,AR,1,3.5590988361746805e-05
05023,Cleburne,AR,1,4.000960230455309e-05
05029,Conway,AR,1,4.801920768307323e-05
05045,Faulkner,AR,1,7.991177739775289e-06
05085,Lonoke,AR,1,1.3625648921529888e-05
05089,Marion,AR,1,6.000600060006001e-05
05101,Newton,AR,1,0.0001282051282051282
05105,Perry,AR,1,9.633911368015414e-05
05119,Pulaski,AR,9,2.2963987364703842e-05
05121,Randolph,AR,1,5.564830272676683e-05
05125,Saline,AR,1,8.259411599517651e-06
05141,Van Buren,TX,1,6.0114217012323416e-05
05145,White,AR,1,1.2758193950064429e-05
06001,Alameda,CA,11,6.5996462589605195e-06
06005,Amador,CA,1,2.537749016622256e-05
06007,Butte,CA,3,1.3024281602333951e-05
06009,Calaveras,CA,1,2.1882795745984508e-05
06013,Contra Costa,CA,32,2.781353458743402e-05
06017,El Dorado,CA,3,1.572772168223711e-05
06019,Fresno,CA,3,3.0243459851807046e-06
06023,Humboldt,CA,5,3.669886380317665e-05
06025,Imperial,CA,6,3.305366262126563e-05
06029,Kern,CA,8,8.95096883048879e-06
06031,Kings,CA,1,6.605805181593584e-06
06033,Lake,CA,1,1.554798886763997e-05
06035,Lassen,CA,1,3.266052648768698e-05
06037,Los Angeles,AL,1,9.926636202481938e-08
06037,Los Angeles,CA,77,7.64350987591109e-06
06041,Marin,CA,2,7.702320709229691e-06
06045,Mendocino,CA,1,1.1441516687452088e-05
06047,Merced,CA,1,3.647624849079522e-06
