c_fips,county,state,total,per_capita
01003,Baldwin,AL,1,4.479604361342806e-06
01007,Bibb,AL,1,4.4654818254889704e-05
01009,Blount,AL,1,1.729325908760765e-05
01015,Calhoun,AL,2,1.7604858941067736e-05
01015,Calhoun,TX,1,8.802429470533868e-06
01025,Clarke,AL,1,4.233341800016933e-05
01029,Cleburne,AL,1,6.70690811535882e-05
01053,Escambia,AL,3,8.189337482597658e-05
01055,Etowah,AL,4,3.9112918997144755e-05
01073,Jefferson,AL,2,3.036869109422949e-06
01077,Lauderdale,AL,1,1.078411284495681e-05
01081,Lee,AL,1,6.077475659709983e-06
01089,Madison,AL,2,5.3632387526179306e-06
01097,Mobile,AL,2,4.840153916894557e-06
01115,St. Clair,AL,2,2.2343372955581375e-05
01125,Tuscaloosa,AL,1,4.776575672900098e-06
01127,Walker,AL,1,1.574282520741172e-05
01129,Washington,AL,1,6.125199068969742e-05
02122,Kenai Peninsula,AK,1,1.7033453703072834e-05
02170,Matanuska-Susitna,AK,1,9.23216115660515e-06
04003,Cochise,AZ,1,7.941424056161751e-06
04007,Gila,AZ,2,3.702469547187974e-05
04013,Maricopa,AZ,34,7.580125268258404e-06
04015,Mohave,AZ,16,7.540731733755614e-05
04017,Navajo,AZ,1,9.015181565756734e-06
04019,Pima,AZ,8,7.638843135401359e-06
04021,Pinal,AZ,6,1.2964871680182545e-05
04025,Yavapai,AZ,2,8.50705447492333e-06
04027,Yuma,AZ,2,9.35510578285864e-06
05031,Craighead,AR,2,1.812710727622086e-05
05045,Faulkner,AR,2,1.5872134087788775e-05
05051,Garland,AR,1,1.0061779325055843e-05
05063,Independence,AR,1,2.6437541308658295e-05
05069,Jefferson,AR,1,1.496468334730037e-05
05085,Lonoke,AR,1,1.3640889931659142e-05
05089,Marion,AR,1,5.9901761111776687e-05
05107,Phillips,AR,1,5.623664379709819e-05
05115,Pope,AR,1,1.5607441628168312e-05
05119,Pulaski,AR,7,1.786119807813509e-05
05121,Randolph,AR,2,0.00011137097672346586
05123,St. Francis,AR,1,4.000960230455309e-05
05125,Saline,AR,2,1.6334931434125304e-05
06001,Alameda,CA,12,7.1799149060418385e-06
06005,Amador,CA,2,5.03119339907426e-05
06007,Butte,CA,3,1.3687005556924256e-05
06013,Contra Costa,CA,13,1.126979365874718e-05
06017,El Dorado,CA,2,1.0371130919971168e-05
06019,Fresno,CA,7,7.006298662497585e-06
06021,Glenn,CA,1,3.521994857887507e-05
06023,Humboldt,CA,2,1.4753832307941988e-05
06025,Imperial,CA,2,1.1036613966834976e-05
06027,Inyo,CA,1,5.543544542380398e-05
06029,Kern,CA,7,7.776032490485469e-06
