c_fips,county,state,total,per_capita
01001,Autauga,AL,1,1.8053800324968405e-05
01003,Baldwin,AL,5,2.3527086734957958e-05
01003,Baldwin,FL,1,4.705417346991592e-06
01009,Blount,AL,1,1.7304930174606745e-05
01013,Butler,AL,1,5.0281576830249393e-05
01049,DeKalb,AL,1,1.3998348194913e-05
01059,Franklin,AL,1,3.170376006594382e-05
01067,Henry,AL,1,5.8428279287174995e-05
01069,Houston,AL,2,1.916112590775834e-05
01073,Jefferson,AL,5,7.580363220684082e-06
01089,Madison,AL,2,5.528496635909797e-06
01095,Marshall,AL,1,1.0463315615452225e-05
01097,Mobile,AL,4,9.660785663394076e-06
01103,Morgan,AL,3,2.5227467666795607e-05
01111,Randolph,AL,1,4.407810640454886e-05
01117,Shelby,AL,6,2.8085548580977658e-05
01121,Talladega,AL,1,1.2477851813031868e-05
01133,Winston,AL,1,4.208754208754209e-05
02020,Anchorage,AK,3,1.0192363880980369e-05
02020,Anchorage,CO,1,3.3974546269934566e-06
02122,Kenai Peninsula,AK,1,1.7077085966050755e-05
02170,Matanuska-Susitna,AK,1,9.413359439716846e-06
04003,Cochise,AZ,1,8.00871348026653e-06
04005,Coconino,AZ,6,4.255288969581776e-05
04007,Gila,AZ,2,3.732875433946769e-05
04012,La Paz,AZ,1,4.829518014102193e-05
04013,Maricopa,AZ,29,6.701818087698605e-06
04015,Mohave,AZ,5,2.415260582464242e-05
04019,Pima,AK,1,9.742875765668249e-07
04019,Pima,AZ,6,5.84572545940095e-06
04021,Pinal,AZ,1,2.3171534233624676e-06
04025,Yavapai,AZ,6,2.6306328425741618e-05
05005,Baxter,AR,1,2.4208385784835866e-05
05007,Benton,AR,1,3.7511487893167283e-06
05031,Craighead,AR,1,9.329402545061014e-06
05033,Crawford,AR,1,1.5899767863389194e-05
05041,Desha,AR,1,8.515711487694797e-05
05051,Garland,AR,1,1.0170146551811811e-05
05053,Grant,AR,1,5.5239463072418936e-05
05065,Izard,AR,1,7.317430118542368e-05
05083,Logan,AR,1,4.600027600165601e-05
05085,Lonoke,AR,2,2.748083211959658e-05
05097,Montgomery,AR,1,0.0001124859392575928
05101,Newton,AR,1,0.00012795905310300704
05115,Pope,AR,1,1.5714869409435208e-05
05119,Pulaski,AR,3,7.628152969894223e-06
05143,Washington,AR,1,4.296787721499407e-06
05149,Yell,AR,1,4.64921660700172e-05
06001,Alameda,CA,14,8.43273926692993e-06
06005,Amador,CA,1,2.5954475849360223e-05
06007,Butte,CA,5,2.186308461888271e-05
06011,Colusa,CA,1,4.634135038695028e-05
