c_fips,county,state,total,per_capita
01003,Baldwin,AL,10,4.590209084023777e-05
01003,Baldwin,FL,1,4.590209084023777e-06
01007,Bibb,AL,1,4.470872267179327e-05
01009,Blount,AL,1,1.730972287133683e-05
01027,Clay,AL,1,7.522190461862494e-05
01051,Elmore,AL,2,2.4688005332609152e-05
01055,Etowah,AL,2,1.9491087700149108e-05
01073,Jefferson,AL,2,3.0329269716679125e-06
01077,Lauderdale,AL,1,1.0798669603904798e-05
01079,Lawrence,AL,1,3.03573054855651e-05
01085,Lowndes,AL,1,0.00010026067776218167
01089,Madison,AL,4,1.0899063770422121e-05
01097,Mobile,AL,3,7.247987475477642e-06
01103,Morgan,AL,1,8.389050611142337e-06
01113,Russell,AL,1,1.7305828603073516e-05
01117,Shelby,AL,1,4.63858467504395e-06
01125,Tuscaloosa,AL,1,4.8003302627220756e-06
01129,Washington,AL,1,6.0968174612852094e-05
02110,Juneau,AK,1,3.1213908917813776e-05
02185,North Slope,AK,1,0.0001015228426395939
04001,Apache,AZ,1,1.3940973916437802e-05
04003,Cochise,AZ,3,2.373211192063982e-05
04005,Coconino,AZ,1,7.016411386232398e-06
04007,Gila,AZ,4,7.434806044497314e-05
04013,Maricopa,AZ,48,1.0903136309874402e-05
04013,Maricopa,MS,1,2.271486731223834e-07
04015,Mohave,AZ,2,9.556026986220209e-06
04017,Navajo,AZ,1,9.070952994321584e-06
04019,Pima,AZ,7,6.753145518709107e-06
04021,Pinal,AZ,6,1.3428646884777733e-05
04025,Yavapai,AZ,5,2.1572925116062338e-05
05007,Benton,AR,3,1.1018636186670388e-05
05015,Carroll,AR,1,3.5590988361746805e-05
05019,Clark,AR,2,8.963384574015148e-05
05051,Garland,AR,1,1.0104480326576804e-05
05067,Jackson,AR,1,5.969080164746613e-05
05069,Jefferson,AR,1,1.469140699604801e-05
05071,Johnson,AR,1,3.7510784350500766e-05
05079,Lincoln,AR,1,7.584951456310679e-05
05089,Marion,AR,1,6.000600060006001e-05
05091,Miller,AR,2,4.612333379456667e-05
05109,Pike,AR,1,9.375585974123383e-05
05113,Polk,AR,1,4.9952545082171936e-05
05119,Pulaski,AR,5,1.2757770758168801e-05
05121,Randolph,AR,1,5.564830272676683e-05
05127,Scott,AR,1,9.672115291614276e-05
05131,Sebastian,AR,7,5.487183507094144e-05
05139,Union,AR,1,2.554996295255372e-05
06001,Alameda,CA,15,8.999517625855254e-06
06005,Amador,CA,1,2.537749016622256e-05
06009,Calaveras,CA,2,4.3765591491969016e-05
06013,Contra Costa,CA,5,4.345864779286565e-06
06017,El Dorado,CA,1,5.2425738940790374e-06
06019,Fresno,CA,3,3.0243459851807046e-06
06023,Humboldt,CA,2,1.4679545521270661e-05
06029,Kern,CA,9,1.0069839934299889e-05
06037,Los Angeles,CA,91,9.033238944258563e-06
06039,Madera,CA,2,1.2748435129587844e-05
06041,Marin,CA,2,7.702320709229691e-06
06047,Merced,CA,1,3.647624849079522e-06
06051,Mono,CA,2,0.00013885995973061168
06053,Monterey,CA,5,1.1522064754003918e-05
06057,Nevada,CA,1,1.0049443260843349e-05
06059,Orange,CA,28,8.816195855569301e-06
06061,Placer,CA,5,1.274437335916193e-05
06061,Placer,IL,1,2.548874671832386e-06
06065,Riverside,CA,28,1.1448248397551874e-05
06067,Sacramento,CA,10,6.498798372180984e-06
06071,San Bernardino,CA,17,7.84584121955756e-06
06073,San Diego,CA,37,1.1098243148109654e-05
06075,San Francisco,CA,9,1.0219190276781092e-05
06077,San Joaquin,CA,3,3.986758645618353e-06
06079,San Luis Obispo,CA,3,1.0587463032108246e-05
06081,San Mateo,CA,3,3.9027893235295265e-06
06083,Santa Barbara,CA,4,8.973036026739648e-06
06085,Santa Clara,CA,16,8.280129190715699e-06
06087,Santa Cruz,CA,4,1.4607016480366343e-05
06089,Shasta,CA,2,1.1129103161221752e-05
06095,Solano,CA,3,6.730607437321218e-06
06097,Sonoma,CA,4,8.021771086729383e-06
06099,Stanislaus,CA,4,7.297592159466984e-06
06107,Tulare,CA,2,4.304880227469871e-06
06109,Tuolumne,CA,1,1.838674683288286e-05
06111,Ventura,CA,9,1.0611430633077951e-05
06113,Yolo,CA,2,9.086035671776047e-06
08001,Adams,CO,7,1.3689146853256257e-05
08005,Arapahoe,CO,5,7.671100051089526e-06
08014,Broomfield,CO,1,1.4425018752524378e-05
08031,Denver,CO,5,6.980656600559849e-06
08035,Douglas,CO,2,5.831090792999193e-06
08037,Eagle,CO,1,1.8200680705458385e-05
08041,El Paso,CO,8,1.1234550737337607e-05
08047,Gilpin,CO,1,0.0001636125654450262
08059,Jefferson,CO,7,1.208163039876284e-05
08067,La Plata,CO,1,1.7762304836675607e-05
08069,Larimer,CO,5,1.425882621342611e-05
08071,Las Animas,CO,2,0.00013785497656465398
08077,Mesa,CO,1,6.538041595020628e-06
08089,Otero,CO,1,5.4531573781219325e-05
08093,Park,CO,1,5.398110661268556e-05
08117,Summit,CO,2,6.489924392380829e-05
08123,Weld,CO,2,6.352937439448565e-06
09001,Fairfield,CT,5,5.296772888150166e-06
09003,Hartford,CT,5,5.6017387797172246e-06
09005,Litchfield,CT,1,5.5219636102598085e-06
09007,Middlesex,CT,1,6.13986615091791e-06
09009,New Haven,CT,9,1.0502105672187274e-05
09011,New London,CT,5,1.8776874401487127e-05
09015,Windham,CT,1,8.542700689395945e-06
10001,Kent,DE,2,1.120197154699227e-05
10003,New Castle,DE,3,5.3806833467850415e-06
10005,Sussex,DE,6,2.615644167767417e-05
11001,District of Columbia,AL,1,1.4254212476142012e-06
11001,District of Columbia,DC,11,1.5679633723756214e-05
11001,District of Columbia,MD,1,1.4254212476142012e-06
12001,Alachua,FL,3,1.1158597141167413e-05
12005,Bay,FL,1,5.369415807560138e-06
12007,Bradford,FL,1,3.603343903142116e-05
12009,Brevard,FL,5,8.400495293202488e-06
12011,Broward,FL,19,9.763080858349516e-06
12015,Charlotte,FL,5,2.7049104945117366e-05
12017,Citrus,FL,2,1.354261182811717e-05
12019,Clay,FL,1,4.631602349148712e-06
12021,Collier,FL,7,1.8508676603181905e-05
12031,Duval,FL,10,1.0541273301484633e-05
12033,Escambia,FL,3,9.520666192749061e-06
12035,Flagler,FL,1,8.92180041932462e-06
12039,Gadsden,FL,1,2.1773684325124653e-05
12041,Gilchrist,FL,2,0.00010938525486764385
12053,Hernando,FL,2,1.0494170488293753e-05
12055,Highlands,FL,4,3.8119562006232546e-05
12057,Hillsborough,FL,18,1.2397385804580008e-05
12061,Indian River,FL,3,1.9085547787030733e-05
12069,Lake,FL,3,8.409957389549226e-06
12071,Lee,FL,16,2.1206939971105546e-05
12073,Leon,FL,6,2.0572110389944353e-05
12075,Levy,FL,1,2.4511005441443208e-05
12079,Madison,FL,1,5.393743257820928e-05
12081,Manatee,FL,3,7.6067416015233766e-06
12083,Marion,FL,1,2.7850343394734056e-06
12085,Martin,FL,1,6.221149419566759e-06
12086,Miami-Dade,FL,28,1.031363012522957e-05
12087,Monroe,FL,2,2.6753347512607516e-05
12089,Nassau,FL,2,2.3273133494693726e-05
12091,Okaloosa,FL,2,9.664917316632357e-06
12095,Orange,FL,9,6.514469360279109e-06
12097,Osceola,FL,1,2.714028269318453e-06
12099,Palm Beach,FL,22,1.4836034840404728e-05
12101,Pasco,FL,5,9.274889165074477e-06
12103,Pinellas,FL,7,7.193815784876133e-06
12105,Polk,FL,9,1.2737104742873236e-05
12107,Putnam,FL,1,1.3505665626730414e-05
12109,St. Johns,FL,2,7.879785985012647e-06
12111,St. Lucie,FL,1,3.1208551143013185e-06
12113,Santa Rosa,FL,2,1.115480074737165e-05
12115,Sarasota,FL,7,1.6419244292553403e-05
12117,Seminole,FL,6,1.2817171592020884e-05
12119,Sumter,FL,3,2.3306582555799844e-05
12121,Suwannee,FL,1,2.2635188664297515e-05
12127,Volusia,FL,9,1.648046789879528e-05
12131,Walton,FL,1,1.4137872532941244e-05
13011,Banks,GA,2,0.00010541851149061775
13013,Barrow,GA,1,1.237103199148873e-05
13021,Bibb,GA,1,6.540094046552389e-06
13035,Butts,GA,2,8.267195767195767e-05
13039,Camden,GA,3,5.591694469814169e-05
13045,Carroll,GA,1,8.474791731993185e-06
13051,Chatham,GA,7,2.420754860529938e-05
13057,Cherokee,GA,5,1.9691706640831148e-05
13063,Clayton,GA,2,6.915701061905898e-06
13067,Cobb,GA,6,7.935773142698427e-06
13069,Coffee,GA,1,2.3226106143305074e-05
13073,Columbia,GA,1,6.490261362825081e-06
13075,Cook,GA,1,5.8237726399161374e-05
13077,Coweta,GA,4,2.7397635584049098e-05
13089,DeKalb,GA,11,1.4571350605240917e-05
13097,Douglas,GA,1,6.895410414827891e-06
13101,Echols,GA,1,0.00025
13103,Effingham,GA,2,3.2139872726104e-05
13117,Forsyth,GA,3,1.265860173085281e-05
13121,Fulton,GA,27,2.5711077951227038e-05
13129,Gordon,GA,1,1.735267578260568e-05
13135,Gwinnett,GA,7,7.548496393436259e-06
13137,Habersham,GA,3,6.611861679853657e-05
13139,Hall,GA,2,9.92368684813782e-06
