c_fips,county,state,total,per_capita
01003,Baldwin,AL,4,1.8821669387966367e-05
01039,Covington,AL,1,2.6981814257190653e-05
01049,DeKalb,AL,1,1.3998348194913e-05
01055,Etowah,AL,1,9.70807809178017e-06
01073,Jefferson,AL,8,1.2128581153094531e-05
01083,Limestone,AL,1,1.0623605651758207e-05
01089,Madison,AL,3,8.292744953864696e-06
01101,Montgomery,AL,2,8.800299210173145e-06
01111,Randolph,AL,1,4.407810640454886e-05
01117,Shelby,AL,3,1.4042774290488829e-05
01119,Sumter,AL,1,7.84375245117264e-05
01125,Tuscaloosa,AL,3,1.4449614195300986e-05
02020,Anchorage,AK,1,3.3974546269934566e-06
02050,Bethel,AK,2,0.0001105583195135434
02110,Juneau,AK,1,3.115458907097015e-05
04001,Apache,AZ,1,1.3977217136068208e-05
04005,Coconino,AZ,1,7.0921482826362935e-06
04007,Gila,AZ,58,0.001082533875844563
04013,Maricopa,AZ,31,7.1640124385743704e-06
04015,Mohave,AZ,2,9.661042329856969e-06
04019,Pima,AZ,8,7.794300612534599e-06
04021,Pinal,AZ,4,9.26861369344987e-06
04025,Yavapai,AZ,2,8.768776141913873e-06
05007,Benton,AR,2,7.502297578633457e-06
05015,Carroll,AR,1,3.5887313834559486e-05
05025,Cleveland,AR,1,0.00012251899044351874
05037,Cross,AR,1,5.955216769890424e-05
05051,Garland,AR,1,1.0170146551811811e-05
05069,Jefferson,AR,1,1.4442935960021953e-05
05089,Marion,AR,1,6.086797735711242e-05
05107,Phillips,AR,1,5.3766331523200175e-05
05119,Pulaski,AR,6,1.5256305939788446e-05
05131,Sebastian,AR,1,7.825583397242264e-06
05143,Washington,AR,1,4.296787721499407e-06
06001,Alameda,CA,14,8.43273926692993e-06
06005,Amador,CA,1,2.5954475849360223e-05
06007,Butte,CA,1,4.372616923776542e-06
06013,Contra Costa,CA,5,4.3647727917523256e-06
06017,El Dorado,CA,1,5.300006890008957e-06
06019,Fresno,CA,3,3.0449495451860363e-06
06029,Kern,CA,2,2.253886827834601e-06
06031,Kings,CA,1,6.681588881836101e-06
06033,Lake,CA,3,4.679384193040196e-05
06037,Los Angeles,CA,105,1.0392221234356367e-05
06039,Madera,CA,2,1.2868108323735869e-05
06041,Marin,CA,2,7.69974090371859e-06
06045,Mendocino,CA,2,2.283730702475564e-05
06045,Mendocino,DC,1,1.141865351237782e-05
06051,Mono,CA,1,6.966699177929497e-05
06053,Monterey,CA,1,2.30131589242729e-06
06055,Napa,CA,1,7.149087061582236e-06
06057,Nevada,CA,6,6.0382219449112886e-05
06059,Orange,CA,29,9.135904134752696e-06
06061,Placer,CA,4,1.0386507926203862e-05
06065,Riverside,CA,19,7.867612105190803e-06
06067,Sacramento,CA,19,1.2440245897828915e-05
06071,San Bernardino,CA,13,6.043855142739587e-06
06073,San Diego,CA,33,9.93605695709159e-06
06075,San Francisco,CA,11,1.2527903056808346e-05
06077,San Joaquin,CA,2,2.69071809884622e-06
06079,San Luis Obispo,CA,1,3.540061101454611e-06
06081,San Mateo,CA,2,2.6011150980425307e-06
06083,Santa Barbara,CA,5,1.1228435789067096e-05
06085,Santa Clara,CA,17,8.796849692886453e-06
06087,Santa Cruz,CA,3,1.0914806298570888e-05
06089,Shasta,CA,1,5.574633189136155e-06
06095,Solano,CA,2,4.509471016502409e-06
06097,Sonoma,CA,1,1.990172528056457e-06
06099,Stanislaus,CA,4,7.343262648310958e-06
06103,Tehama,CA,1,1.5662443027863486e-05
06107,Tulare,CA,4,8.652240497676874e-06
06109,Tuolumne,CA,1,1.8526752630798872e-05
06111,Ventura,CA,2,2.355590522988208e-06
06113,Yolo,CA,1,4.577140843200886e-06
06115,Yuba,CA,1,1.305858079343937e-05
08001,Adams,CO,1,1.985742369784944e-06
08005,Arapahoe,CO,10,1.5516433454671843e-05
08007,Archuleta,CO,1,7.521624670928921e-05
08013,Boulder,CO,6,1.8608055427194432e-05
08014,Broomfield,CO,2,2.9298448647144134e-05
08029,Delta,CO,1,3.276647334447393e-05
08031,Denver,CO,4,5.674072750123766e-06
08035,Douglas,CO,3,8.933463563379947e-06
08041,El Paso,CO,9,1.2855324746928648e-05
08059,Jefferson,CO,7,1.216509070812993e-05
08067,La Plata,CO,1,1.7997588323164695e-05
08069,Larimer,CO,1,2.9062670743190614e-06
08071,Las Animas,CO,1,7.041757622702627e-05
09001,Fairfield,CT,10,1.060402656096573e-05
09003,Hartford,CT,2,2.239451065754762e-06
09009,New Haven,CT,6,6.995061486590467e-06
09011,New London,CO,1,3.7394500764717543e-06
09013,Tolland,CT,1,6.622121860286473e-06
09015,Windham,CT,1,8.591212907438273e-06
10003,New Castle,DE,2,3.5972775803272082e-06
10005,Sussex,DE,1,4.457360885766756e-06
10005,Sussex,MD,1,4.457360885766756e-06
11001,District of Columbia,DC,12,1.7268522649106497e-05
12001,Alachua,FL,7,2.628525509840073e-05
12009,Brevard,FL,6,1.0208091954492326e-05
12011,Broward,FL,62,3.204936015003236e-05
12015,Charlotte,FL,2,1.101794823767918e-05
12017,Citrus,FL,1,6.876869648935805e-06
