c_fips,county,state,total,per_capita
01003,Baldwin,FL,2,9.180418168047554e-06
01009,Blount,AL,2,3.461944574267366e-05
01021,Chilton,AL,2,4.528677852500962e-05
01027,Clay,AL,1,7.522190461862494e-05
01029,Cleburne,AL,1,6.662225183211193e-05
01043,Cullman,AL,1,1.1987820374499509e-05
01045,Dale,AL,2,4.069755611175549e-05
01051,Elmore,AL,1,1.2344002666304576e-05
01059,Franklin,AL,2,6.390184676337147e-05
01069,Houston,AL,2,1.908943399828195e-05
01073,Jefferson,AL,6,9.098780915003738e-06
01075,Lamar,FL,1,7.203572972194209e-05
01083,Limestone,AL,1,1.0397496282895078e-05
01089,Madison,AL,4,1.0899063770422121e-05
01097,Mobile,AL,4,9.663983300636856e-06
01099,Monroe,AL,1,4.747887190200361e-05
01101,Montgomery,AL,1,4.414933069614665e-06
01115,St. Clair,AL,2,2.2559613779412097e-05
01117,Shelby,AL,2,9.2771693500879e-06
01125,Tuscaloosa,AL,2,9.600660525444151e-06
02020,Anchorage,AK,2,6.8841839316262855e-06
02090,Fairbanks North Star,AK,1,1.0145589205093085e-05
02170,Matanuska-Susitna,AK,2,1.8671521262194837e-05
04005,Coconino,AZ,1,7.016411386232398e-06
04007,Gila,AZ,1,1.8587015111243284e-05
04012,La Paz,AZ,3,0.00014259232853272493
04013,Maricopa,AZ,30,6.814460193671502e-06
04015,Mohave,AZ,2,9.556026986220209e-06
04019,Pima,AZ,4,3.8589402964052045e-06
04021,Pinal,AZ,5,1.1190539070648112e-05
04023,Santa Cruz,AZ,1,2.1554046772281497e-05
04025,Yavapai,AZ,1,4.314585023212468e-06
04027,Yuma,AZ,1,4.725629926469198e-06
05003,Ashley,AR,1,4.9970017989206476e-05
05007,Benton,AR,1,3.6728787288901295e-06
05031,Craighead,AR,1,9.18982502573151e-06
05033,Crawford,AR,1,1.577809684595844e-05
05045,Faulkner,AR,1,7.991177739775289e-06
05051,Garland,AR,2,2.0208960653153607e-05
05061,Howard,AR,1,7.517666516313337e-05
05069,Jefferson,AR,2,2.938281399209602e-05
05081,Little River,TX,1,8.13206473123526e-05
05091,Miller,AR,1,2.3061666897283336e-05
05105,Perry,AR,1,9.633911368015414e-05
05107,Phillips,AR,2,0.00011077877478675086
05119,Pulaski,AR,2,5.103108303267521e-06
05121,Randolph,AR,1,5.564830272676683e-05
05125,Saline,AR,1,8.259411599517651e-06
05131,Sebastian,AR,1,7.838833581563063e-06
