c_fips,county,state,total,per_capita
01003,Baldwin,AL,2,9.410834693983183e-06
01003,Baldwin,FL,2,9.410834693983183e-06
01015,Calhoun,AL,1,8.717635777177229e-06
01035,Conecuh,AL,1,8.044405116241654e-05
01039,Covington,AL,1,2.6981814257190653e-05
01043,Cullman,AL,1,1.206752989730532e-05
01045,Dale,AL,1,2.026670990231446e-05
01051,Elmore,AL,1,1.2281692908550515e-05
01053,Escambia,AL,2,5.406428243181142e-05
01061,Geneva,AL,1,3.7900322152738296e-05
01073,Jefferson,AL,3,4.5482179324104495e-06
01075,Lamar,AL,1,7.203572972194209e-05
01077,Lauderdale,AL,1,1.0803336070178471e-05
01079,Lawrence,AL,1,3.0245289296192117e-05
01081,Lee,AL,1,6.194251734390485e-06
01089,Madison,AL,2,5.528496635909797e-06
01093,Marion,AL,2,6.713211600429645e-05
01097,Mobile,AL,2,4.830392831697038e-06
01099,Monroe,AL,1,4.697040864255519e-05
01103,Morgan,AL,1,8.409155888931868e-06
01113,Russell,GA,1,1.7548477669562164e-05
01115,St. Clair,AL,1,1.1373200191069764e-05
01117,Shelby,AL,2,9.361849526992553e-06
01125,Tuscaloosa,AL,3,1.4449614195300986e-05
02020,Anchorage,AK,1,3.3974546269934566e-06
02180,Nome,AK,1,9.975062344139652e-05
02198,Prince of Wales-Hyder,AK,1,0.00015518311607697082
04005,Coconino,AZ,3,2.127644484790888e-05
04013,Maricopa,AZ,18,4.159749157881893e-06
04015,Mohave,AZ,4,1.9322084659713937e-05
04019,Pima,AK,1,9.742875765668249e-07
04019,Pima,AS,1,9.742875765668249e-07
04019,Pima,AZ,5,4.871437882834125e-06
04021,Pinal,AZ,6,1.3902920540174806e-05
04025,Yavapai,AZ,4,1.7537552283827745e-05
05007,Benton,AR,1,3.7511487893167283e-06
05031,Craighead,AR,1,9.329402545061014e-06
05045,Faulkner,AR,2,1.619039909333765e-05
05051,Garland,AR,2,2.0340293103623622e-05
05053,Grant,AR,2,0.00011047892614483787
05057,Hempstead,AR,1,4.5712196013896505e-05
05061,Howard,AR,1,7.482229704451927e-05
05069,Jefferson,AR,1,1.4442935960021953e-05
05071,Johnson,AR,1,3.787735313056323e-05
05075,Lawrence,AR,1,6.034638826866212e-05
05081,Little River,AR,2,0.0001616422856219187
05097,Montgomery,AR,1,0.0001124859392575928
05115,Pope,AR,3,4.714460822830562e-05
05119,Pulaski,AR,7,1.7799023596419852e-05
05125,Saline,AR,1,8.366800535475235e-06
05141,Van Buren,AR,1,6.041565973900435e-05
06001,Alameda,CA,14,8.43273926692993e-06
06005,Amador,IN,1,2.5954475849360223e-05
06007,Butte,CA,2,8.745233847553084e-06
06013,Contra Costa,CA,11,9.602500141855117e-06
06017,El Dorado,CA,1,5.300006890008957e-06
06019,Fresno,CA,5,5.0749159086433935e-06
06019,Fresno,OR,1,1.0149831817286788e-06
06023,Humboldt,CA,1,7.325631652589244e-06
06029,Kern,CA,7,7.888603897421103e-06
06031,Kings,CA,1,6.681588881836101e-06
06037,Los Angeles,AL,2,1.9794707113059746e-07
06037,Los Angeles,CA,86,8.51172405861569e-06
06041,Marin,CA,7,2.6949093163015065e-05
06047,Merced,CA,1,3.6887301915188715e-06
06051,Mono,CA,1,6.966699177929497e-05
06053,Monterey,CA,1,2.30131589242729e-06
06057,Nevada,CA,1,1.0063703241518814e-05
06059,Orange,CA,22,6.930685895329631e-06
06061,Placer,CA,5,1.2983134907754826e-05
06063,Plumas,CA,1,5.359056806002143e-05
06065,Riverside,CA,11,4.554933324057832e-06
06067,Sacramento,CA,14,9.166496977347621e-06
06069,San Benito,CA,1,1.6621235290206768e-05
06071,San Bernardino,CA,19,8.833326747080933e-06
06073,San Diego,AL,1,3.010926350633815e-07
06073,San Diego,CA,36,1.0839334862281733e-05
06075,San Francisco,CA,18,2.050020500205002e-05
06077,San Joaquin,CA,4,5.38143619769244e-06
06079,San Luis Obispo,CA,3,1.0620183304363833e-05
06081,San Mateo,CA,4,5.202230196085061e-06
06083,Santa Barbara,CA,2,4.491374315626838e-06
06085,Santa Clara,CA,15,7.761926199605695e-06
06087,Santa Cruz,CA,2,7.276537532380592e-06
06089,Shasta,CA,3,1.6723899567408464e-05
06093,Siskiyou,CA,1,2.2924212553298793e-05
06095,Solano,CA,4,9.018942033004818e-06
06097,Sonoma,CA,6,1.1941035168338744e-05
06099,Stanislaus,CA,1,1.8358156620777395e-06
06103,Tehama,CA,1,1.5662443027863486e-05
06107,Tulare,CA,2,4.326120248838437e-06
06111,Ventura,CA,12,1.4133543137929248e-05
06115,Yuba,CA,1,1.305858079343937e-05
08001,Adams,CO,4,7.942969479139776e-06
08005,Arapahoe,CO,11,1.7068076800139026e-05
08013,Boulder,CO,1,3.101342571199072e-06
08029,Delta,CO,1,3.276647334447393e-05
08031,Denver,CO,8,1.1348145500247532e-05
08035,Douglas,CO,4,1.1911284751173261e-05
08037,Eagle,CO,1,1.820531959438548e-05
08041,El Paso,CO,11,1.571206357957946e-05
08045,Garfield,CO,1,1.6939964764873288e-05
08059,Jefferson,CO,11,1.9116571112775603e-05
08069,Larimer,CO,3,8.718801222957184e-06
08081,Moffat,CO,1,7.640586797066015e-05
08089,Otero,CO,1,5.451076587626056e-05
08097,Pitkin,CO,1,5.563901407667056e-05
08101,Pueblo,CO,2,1.2027687737170968e-05
08117,Summit,CO,2,6.489292667099286e-05
08123,Weld,CO,1,3.2692024780554784e-06
09001,Fairfield,CT,6,6.362415936579438e-06
09003,Hartford,CT,8,8.957804263019048e-06
09005,Litchfield,CT,1,5.504577055821916e-06
09009,New Haven,CT,4,4.663374324393645e-06
09011,New London,CT,1,3.7394500764717543e-06
09013,Tolland,CT,2,1.3244243720572946e-05
10001,Kent,DE,3,1.6997263440586064e-05
10003,New Castle,DE,2,3.5972775803272082e-06
10005,Sussex,DE,3,1.3372082657300265e-05
11001,District of Columbia,DC,9,1.2951391986829873e-05
11001,District of Columbia,GA,1,1.4390435540922081e-06
12001,Alachua,FL,6,2.2530218655772053e-05
12005,Bay,FL,3,1.623939026502685e-05
12009,Brevard,FL,7,1.1909440613574381e-05
12011,Broward,FL,31,1.602468007501618e-05
12011,Broward,GA,1,5.169251637101993e-07
12015,Charlotte,FL,1,5.50897411883959e-06
12017,Citrus,FL,2,1.375373929787161e-05
12019,Clay,FL,3,1.4135740807056562e-05
12021,Collier,FL,2,5.366563091998991e-06
12023,Columbia,FL,1,1.4285918370262432e-05
12029,Dixie,FL,1,6.018657839301836e-05
12031,Duval,FL,30,3.198522708978147e-05
12033,Escambia,FL,3,9.57704573677809e-06
12039,Gadsden,FL,1,2.1742439066814515e-05
12053,Hernando,FL,1,5.356071642814294e-06
12055,Highlands,FL,3,2.888726264299195e-05
12057,Hillsborough,FL,11,7.709905686826434e-06
12059,Holmes,FL,1,5.147475163432337e-05
12061,Indian River,FL,5,3.241680227695619e-05
12067,Lafayette,FL,1,0.00011625203441060219
12069,Lake,FL,5,1.447462887051576e-05
12071,Lee,FL,15,2.027027027027027e-05
12073,Leon,FL,7,2.4057876376883817e-05
12075,Levy,FL,2,4.9657364187108946e-05
12081,Manatee,FL,6,1.5563960094006318e-05
12083,Marion,FL,1,2.8301432901547804e-06
12085,Martin,FL,2,1.2523403109560992e-05
12086,Miami-Dade,FL,24,8.845333809998544e-06
12087,Monroe,FL,5,6.537400468077873e-05
12089,Nassau,FL,2,2.411817907747965e-05
12091,Okaloosa,FL,1,4.91453621521737e-06
12095,Orange,FL,11,8.112567030085086e-06
12099,Palm Beach,FL,23,1.5642597922662995e-05
12101,Pasco,FL,3,5.712751432472421e-06
12103,Pinellas,FL,8,8.261552490290094e-06
12105,Polk,FL,4,5.836280655064141e-06
12109,St. Johns,FL,4,1.6414094783190325e-05
12111,St. Lucie,FL,6,1.915935151981556e-05
12113,Santa Rosa,FL,1,5.745508448770174e-06
12115,Sarasota,FL,5,1.1913839115516584e-05
12117,Seminole,FL,3,6.482267756551952e-06
12119,Sumter,FL,5,4.000160006400256e-05
12127,Volusia,FL,2,3.7183844363301033e-06
12131,Walton,FL,1,1.470134223254583e-05
13011,Banks,GA,1,5.368262830148164e-05
13013,Barrow,GA,2,2.5348863737182982e-05
13015,Bartow,GA,3,2.8544786770442825e-05
13021,Bibb,GA,1,6.54278984559016e-06
13027,Brooks,GA,1,6.403278478581034e-05
13035,Butts,GA,1,4.155067104333735e-05
13039,Camden,GA,1,1.8866144703329873e-05
13045,Carroll,GA,1,8.51861316977596e-06
13051,Chatham,GA,3,1.0369535686757067e-05
13053,Chattahoochee,GA,1,9.799118079372857e-05
13055,Chattooga,GA,1,4.0410571405479676e-05
13057,Cherokee,GA,1,4.0361151584377e-06
13059,Clarke,GA,1,7.885502503647046e-06
13063,Clayton,GA,1,3.5188469442333137e-06
13067,Cobb,GA,7,9.300484023761408e-06
13077,Coweta,GA,3,2.0956598883711832e-05
13085,Dawson,GA,1,4.0973531098910105e-05
13089,DeKalb,GA,9,1.1981213457298955e-05
13097,Douglas,GA,1,6.974668005802924e-06
13111,Fannin,GA,5,0.00019737880941102164
13113,Fayette,GA,4,3.5538812825957547e-05
13115,Floyd,GA,1,1.0256410256410256e-05
13117,Forsyth,GA,3,1.3103870009609505e-05
13119,Franklin,GA,2,8.74737578726382e-05
13121,Fulton,GA,17,1.636286284648362e-05
13123,Gilmer,GA,1,3.284827382321059e-05
13135,Gwinnett,GA,7,7.623727654309693e-06
13141,Hancock,GA,1,0.00011710973181871414
13145,Harris,GA,2,5.8922310933034795e-05
13151,Henry,GA,6,2.6645113730227106e-05
13153,Houston,GA,1,6.527329930418663e-06
13171,Lamar,GA,1,5.3763440860215054e-05
13175,Laurens,GA,1,2.1107733873691322e-05
13177,Lee,GA,1,3.400204012240735e-05
13185,Lowndes,GA,1,8.66521091123358e-06
13195,Madison,GA,1,3.4135518006485746e-05
13199,Meriwether,GA,1,4.7571476142904715e-05
13211,Morgan,GA,1,5.442769281010178e-05
13215,Muscogee,GA,2,1.031800078416806e-05
13217,Newton,GA,3,2.7817443391502697e-05
13219,Oconee,GA,2,5.2463144640889776e-05
13221,Oglethorpe,GA,1,6.72314105149926e-05
13225,Peach,GA,1,3.709061236601016e-05
13231,Pike,GA,1,5.493298176225006e-05
13233,Polk,GA,1,2.3913147448467166e-05
13255,Spalding,GA,1,1.5300345787814803e-05
13275,Thomas,GA,2,4.482395392097537e-05
13281,Towns,GA,1,8.655760408551892e-05
13291,Union,GA,1,4.277891854893908e-05
15001,Hawaii,HI,2,1.0000950090258575e-05
15003,Honolulu,HI,3,3.041507452200176e-06
15007,Kauai,NM,1,1.3922341180892979e-05
15009,Maui,RI,1,6.018802739759007e-06
16001,Ada,ID,5,1.0951750965944436e-05
16027,Canyon,ID,3,1.3833937415267133e-05
16035,Clearwater,ID,1,0.00011566042100393245
16039,Elmore,ID,1,3.7200996986719245e-05
16055,Kootenai,ID,2,1.2712941774726671e-05
16057,Latah,ID,1,2.5162929971565888e-05
16065,Madison,ID,1,2.54000508001016e-05
16079,Shoshone,ID,1,7.987858455148175e-05
17001,Adams,IL,2,3.0276882086682715e-05
17013,Calhoun,IL,1,0.00020614306328592042
17031,Cook,IL,47,9.037034729709021e-06
17043,DuPage,IL,12,1.289955012818928e-05
17089,Kane,IL,1,1.8787386899930862e-06
17091,Kankakee,IL,3,2.713949701465533e-05
17093,Kendall,IL,2,1.585389054473968e-05
17097,Lake,IL,6,8.541229225239332e-06
17099,LaSalle,IL,1,9.12225648136323e-06
17109,McDonough,IL,1,3.2923978533565994e-05
17111,McHenry,IL,2,6.497409158098209e-06
17113,McLean,IL,3,1.7365733933801822e-05
17115,Macon,IL,1,9.48775605081642e-06
17117,Macoupin,IL,1,2.197560707614548e-05
17119,Madison,IL,2,7.540028124304904e-06
17121,Marion,IL,1,2.6506918305677783e-05
17129,Menard,IL,1,8.134710811030668e-05
17133,Monroe,IL,1,2.9257731355510693e-05
17137,Morgan,IL,1,2.9201343261790042e-05
17143,Peoria,IL,4,2.1914806190932748e-05
17161,Rock Island,IL,1,6.952749117000862e-06
17163,St. Clair,IL,1,3.8080731150038083e-06
17167,Sangamon,IL,1,5.074287570025168e-06
17173,Shelby,IL,1,4.592633416000735e-05
17177,Stephenson,IL,2,4.444740760495144e-05
17179,Tazewell,IL,1,7.491253961000532e-06
17183,Vermilion,IL,2,2.5743670275071117e-05
17197,Will,IL,7,1.013788978375881e-05
18003,Allen,IN,1,2.6901752111114997e-06
18005,Bartholomew,IN,2,2.432705289917653e-05
18007,Benton,IN,1,0.00011586142973004287
18019,Clark,IN,1,8.580376678536187e-06
18025,Crawford,IN,1,9.492168960607498e-05
18031,Decatur,IN,1,3.756574004507889e-05
18035,Delaware,IN,1,8.677090745015011e-06
18043,Floyd,AZ,1,1.2986001090824092e-05
18053,Grant,IN,1,1.5081818867355403e-05
18057,Hamilton,IN,4,1.23864702585366e-05
18059,Hancock,IN,1,1.3333688898370623e-05
18063,Hendricks,IN,1,6.111647577954065e-06
18069,Huntington,IN,2,5.521506266909613e-05
18079,Jennings,IN,1,3.616374945754376e-05
18081,Johnson,IN,1,6.50110518788194e-06
18087,LaGrange,IN,1,2.5479005299633102e-05
18089,Lake,IN,1,2.063553314995223e-06
18095,Madison,IN,3,2.3180701293483133e-05
18097,Marion,IN,7,7.364258308724437e-06
18099,Marshall,IN,1,2.153640729653479e-05
18117,Orange,IN,2,0.0001029707048344746
18127,Porter,IN,1,5.934894210510698e-06
18141,St. Joseph,IN,6,2.2217531854386298e-05
18151,Steuben,IN,1,2.908329455560726e-05
18157,Tippecanoe,IN,1,5.230152877368605e-06
18165,Vermillion,IN,1,6.450364445591176e-05
18167,Vigo,IN,2,1.8592717232659966e-05
18173,Warrick,IN,2,3.20507684171728e-05
19013,Black Hawk,IA,1,7.562122839123399e-06
19015,Boone,IA,1,3.7817191695344705e-05
19035,Cherokee,IA,1,8.844078889183692e-05
19085,Harrison,IA,1,7.088679379031687e-05
19127,Marshall,IA,2,4.9902689754977795e-05
19153,Polk,IA,4,8.324887041688952e-06
19163,Scott,IA,1,5.798849508257561e-06
19193,Woodbury,IA,1,9.79125053851878e-06
20015,Butler,KS,1,1.4959982048021542e-05
20045,Douglas,KS,1,8.31386503271506e-06
20061,Geary,KS,2,5.921714928643335e-05
20079,Harvey,KS,1,2.9092601751374626e-05
20091,Johnson,KS,97,0.00016404393671624626
20095,Kingman,KS,1,0.0001374570446735395
20103,Leavenworth,KS,1,1.2329088017359357e-05
20127,Morris,KS,1,0.00018291567587342235
20139,Osage,KS,1,6.312334301224592e-05
20155,Reno,KS,1,1.5945402940332302e-05
20163,Rooks,VA,1,0.00019782393669634025
20173,Sedgwick,KS,2,3.897298392754143e-06
20177,Shawnee,KS,1,5.616210630363481e-06
21011,Bath,KY,2,0.000161537840239076
21019,Boyd,KY,1,2.0917001338688085e-05
21037,Campbell,KY,1,1.0766812377527509e-05
21045,Casey,KY,1,6.321911746112024e-05
21059,Daviess,KY,2,1.9908223091547965e-05
21067,Fayette,KY,3,9.31781192928402e-06
21093,Hardin,KY,2,1.849095330109744e-05
21095,Harlan,KY,1,3.748687959214275e-05
21107,Hopkins,KY,1,2.207846687126046e-05
21111,Jefferson,KY,5,6.494957315140525e-06
21113,Jessamine,KY,4,7.510467714376913e-05
21151,Madison,KY,1,1.0968520346605243e-05
21195,Pike,KY,2,3.395297512944572e-05
21211,Shelby,KY,2,4.236480332140058e-05
21227,Warren,KY,1,7.747493685792646e-06
22015,Bossier,LA,1,7.876558574027835e-06
22017,Caddo,LA,2,8.132230060788419e-06
22019,Calcasieu,LA,2,9.878201772149398e-06
22031,De Soto,LA,2,7.334873656801261e-05
22033,East Baton Rouge,LA,3,6.748989338846508e-06
22047,Iberville,LA,1,3.0389594602808e-05
22051,Jefferson,LA,3,6.878746050453309e-06
22055,Lafayette,LA,1,4.1364019920911995e-06
