c_fips,county,state,total,per_capita
01003,Baldwin,AL,3,1.3770627252071332e-05
01015,Calhoun,AK,1,8.746534185828866e-06
01015,Calhoun,AL,1,8.746534185828866e-06
01027,Clay,AL,2,0.00015044380923724988
01029,Cleburne,AL,2,0.00013324450366422385
01041,Crenshaw,AL,1,7.233273056057866e-05
01049,DeKalb,AL,2,2.8008458554483454e-05
01071,Jackson,AL,2,3.874392204722884e-05
01073,Jefferson,AL,3,4.549390457501869e-06
01079,Lawrence,AL,1,3.03573054855651e-05
01089,Madison,AL,9,2.4522893483449773e-05
01095,Marshall,AL,1,1.0398253093480296e-05
01097,Mobile,AL,8,1.9327966601273712e-05
01101,Montgomery,AL,1,4.414933069614665e-06
01103,Morgan,AL,1,8.389050611142337e-06
01115,St. Clair,AL,1,1.1279806889706048e-05
01117,Shelby,AL,2,9.2771693500879e-06
01125,Tuscaloosa,AL,4,1.9201321050888302e-05
02020,Anchorage,AK,1,3.4420919658131427e-06
02122,Kenai Peninsula,AK,1,1.7076211130274414e-05
04003,Cochise,AZ,2,1.5821407947093213e-05
04005,Coconino,AZ,1,7.016411386232398e-06
04007,Gila,AZ,1,1.8587015111243284e-05
04009,Graham,AZ,2,5.263850506645611e-05
04012,La Paz,AZ,2,9.506155235514996e-05
04013,Maricopa,AZ,41,9.31309559801772e-06
04015,Mohave,AZ,4,1.9112053972440418e-05
04019,Pima,AZ,9,8.68261566691171e-06
04021,Pinal,AZ,5,1.1190539070648112e-05
04025,Yavapai,AZ,3,1.2943755069637402e-05
04027,Yuma,AZ,1,4.725629926469198e-06
05001,Arkansas,AR,1,5.641430666817105e-05
05005,Baxter,AR,1,2.4024601191620218e-05
05007,Benton,AR,2,7.345757457780259e-06
05015,Carroll,AR,1,3.5590988361746805e-05
05019,Clark,AR,1,4.481692287007574e-05
05031,Craighead,AR,1,9.18982502573151e-06
05033,Crawford,AR,1,1.577809684595844e-05
05045,Faulkner,AR,1,7.991177739775289e-06
05071,Johnson,AR,1,3.7510784350500766e-05
05083,Logan,AR,2,9.22807179439856e-05
05085,Lonoke,AR,2,2.7251297843059776e-05
05097,Montgomery,AR,1,0.0001122334455667789
05119,Pulaski,AR,7,1.7860879061436322e-05
05129,Searcy,AR,1,0.00012610340479192938
05131,Sebastian,AR,1,7.838833581563063e-06
05143,Washington,AR,2,8.45269239384475e-06
06001,Alameda,CA,18,1.0799421151026304e-05
06005,Amador,CA,1,2.537749016622256e-05
06007,Butte,CA,4,1.7365708803111935e-05
06009,Calaveras,CA,1,2.1882795745984508e-05
06011,Colusa,CA,1,4.668970025212438e-05
06013,Contra Costa,CA,11,9.560902514430443e-06
06015,Del Norte,CA,3,0.00010814708002883922
06017,El Dorado,CA,1,5.2425738940790374e-06
06019,Fresno,CA,5,5.040576641967841e-06
06023,Humboldt,CA,2,1.4679545521270661e-05
06025,Imperial,CA,1,5.5089437702109375e-06
06029,Kern,CA,7,7.832097726677691e-06
06033,Lake,CA,1,1.554798886763997e-05
06037,Los Angeles,CA,132,1.3103159787276157e-05
06039,Madera,CA,1,6.374217564793922e-06
06041,Marin,CA,5,1.9255801773074227e-05
06045,Mendocino,CA,3,3.4324550062356265e-05
06045,Mendocino,DC,1,1.1441516687452088e-05
06055,Napa,CA,3,2.161554590061172e-05
06055,Napa,NV,1,7.205181966870573e-06
06057,Nevada,CA,5,5.024721630421675e-05
06059,Orange,CA,31,9.760788268666012e-06
06059,Orange,MA,1,3.148641376989036e-07
06061,Placer,CA,3,7.646624015497159e-06
06061,Placer,IL,2,5.097749343664772e-06
06063,Plumas,CA,1,5.335894562723441e-05
06065,Riverside,CA,15,6.132990212974218e-06
06067,Sacramento,CA,15,9.748197558271475e-06
06069,San Benito,CA,1,1.626889225112662e-05
06071,San Bernardino,CA,13,5.999760932602839e-06
06073,San Diego,CA,32,9.598480560527268e-06
06075,San Francisco,CA,16,1.8167449380944163e-05
06077,San Joaquin,CA,1,1.328919548539451e-06
06079,San Luis Obispo,CA,3,1.0587463032108246e-05
06081,San Mateo,CA,5,6.504648872549211e-06
06083,Santa Barbara,CA,10,2.243259006684912e-05
06085,Santa Clara,CA,22,1.1385177637234085e-05
06087,Santa Cruz,CA,4,1.4607016480366343e-05
06089,Shasta,CA,2,1.1129103161221752e-05
06095,Solano,CA,1,2.243535812440406e-06
06097,Sonoma,CA,5,1.0027213858411729e-05
06099,Stanislaus,CA,1,1.824398039866746e-06
06103,Tehama,CA,3,4.686182011309319e-05
06105,Trinity,CA,1,7.957348611442667e-05
06107,Tulare,CA,4,8.609760454939742e-06
06109,Tuolumne,CA,3,5.516024049864857e-05
06111,Ventura,CA,7,8.253334936838407e-06
06113,Yolo,CA,3,1.3629053507664072e-05
06115,Yuba,CA,2,2.5787485333367718e-05
