c_fips,county,state,total,per_capita
01003,Baldwin,AL,3,1.3770627252071332e-05
01003,Baldwin,FL,3,1.3770627252071332e-05
01021,Chilton,AL,1,2.264338926250481e-05
01043,Cullman,AL,1,1.1987820374499509e-05
01051,Elmore,AL,1,1.2344002666304576e-05
01073,Jefferson,AL,2,3.0329269716679125e-06
01081,Lee,AL,2,1.2220755731534438e-05
01083,Limestone,AL,1,1.0397496282895078e-05
01087,Macon,AL,1,5.458217346214726e-05
01089,Madison,AL,4,1.0899063770422121e-05
01093,Marion,AL,1,3.361344537815126e-05
01097,Mobile,AL,2,4.831991650318428e-06
01099,Monroe,AL,1,4.747887190200361e-05
01115,St. Clair,AL,2,2.2559613779412097e-05
01117,Shelby,AL,2,9.2771693500879e-06
01127,Walker,AL,1,1.5706230661703498e-05
01129,Washington,AL,3,0.00018290452383855628
01133,Winston,AL,1,4.2206558899252944e-05
02020,Anchorage,AK,1,3.4420919658131427e-06
02220,Sitka,AK,1,0.00011690437222352116
04001,Apache,AZ,3,4.1822921749313405e-05
04003,Cochise,AZ,1,7.910703973546607e-06
04005,Coconino,AZ,4,2.806564554492959e-05
04013,Maricopa,AZ,28,6.360162847426735e-06
04015,Mohave,AZ,10,4.778013493110105e-05
04017,Navajo,AZ,1,9.070952994321584e-06
04019,Pima,AZ,1,9.647350741013011e-07
04021,Pinal,AZ,10,2.2381078141296224e-05
04025,Yavapai,AZ,6,2.5887510139274805e-05
04027,Yuma,AZ,2,9.451259852938397e-06
05005,Baxter,AR,2,4.8049202383240436e-05
05007,Benton,AR,2,7.345757457780259e-06
05027,Columbia,AR,1,4.239803273128127e-05
05029,Conway,AR,1,4.801920768307323e-05
05031,Craighead,AR,2,1.837965005146302e-05
05069,Jefferson,AR,1,1.469140699604801e-05
05081,Little River,AR,1,8.13206473123526e-05
05085,Lonoke,AR,4,5.450259568611955e-05
05115,Pope,AR,2,3.144950781520269e-05
05117,Prairie,AR,1,0.00012373174956693887
05119,Pulaski,AR,3,7.65466245490128e-06
05125,Saline,AR,2,1.6518823199035302e-05
05143,Washington,AR,3,1.2679038590767124e-05
06001,Alameda,CA,11,6.5996462589605195e-06
06013,Contra Costa,CA,13,1.129924842614507e-05
06017,El Dorado,CA,1,5.2425738940790374e-06
06019,Fresno,CA,3,3.0243459851807046e-06
06027,Inyo,CA,1,5.572272372673576e-05
06029,Kern,CA,4,4.475484415244395e-06
06033,Lake,CA,1,1.554798886763997e-05
06037,Los Angeles,CA,73,7.246444427811814e-06
06037,Los Angeles,LA,1,9.926636202481938e-08
06041,Marin,CA,3,1.1553481063844536e-05
06045,Mendocino,CA,1,1.1441516687452088e-05
06047,Merced,CA,2,7.295249698159044e-06
06053,Monterey,CA,1,2.3044129508007833e-06
06057,Nevada,CA,1,1.0049443260843349e-05
06059,Orange,CA,37,1.1649973094859433e-05
06061,Placer,CA,8,2.0390997374659088e-05
06063,Plumas,CA,1,5.335894562723441e-05
06065,Riverside,CA,14,5.724124198775937e-06
06067,Sacramento,CA,10,6.498798372180984e-06
06069,San Benito,CA,1,1.626889225112662e-05
06071,San Bernardino,CA,10,4.6152007173867995e-06
06071,San Bernardino,MA,1,4.6152007173868e-07
06073,San Diego,CA,25,7.498812937911928e-06
06075,San Francisco,CA,10,1.1354655863090102e-05
06077,San Joaquin,CA,8,1.0631356388315608e-05
06079,San Luis Obispo,CA,5,1.764577172018041e-05
06081,San Mateo,CA,3,3.9027893235295265e-06
06083,Santa Barbara,CA,4,8.973036026739648e-06
06085,Santa Clara,CA,12,6.210096893036774e-06
06087,Santa Cruz,CA,4,1.4607016480366343e-05
06089,Shasta,CA,2,1.1129103161221752e-05
06095,Solano,CA,6,1.3461214874642436e-05
06097,Sonoma,CA,1,2.0054427716823457e-06
06099,Stanislaus,CA,5,9.12199019933373e-06
06105,Trinity,CA,1,7.957348611442667e-05
06107,Tulare,CA,1,2.1524401137349354e-06
06109,Tuolumne,CA,3,5.516024049864857e-05
06111,Ventura,CA,7,8.253334936838407e-06
06115,Yuba,CA,1,1.2893742666683859e-05
08001,Adams,CO,2,3.9111848152160734e-06
08005,Arapahoe,CO,5,7.671100051089526e-06
08005,Arapahoe,NM,1,1.5342200102179052e-06
08013,Boulder,CO,1,3.080373094789241e-06
08031,Denver,CO,4,5.584525280447879e-06
08037,Eagle,CO,1,1.8200680705458385e-05
08041,El Paso,CO,5,7.021594210836005e-06
08043,Fremont,CO,1,2.0851143685231133e-05
08055,Huerfano,CO,1,0.0001452011035283868
08059,Jefferson,CO,3,5.177841599469789e-06
08067,La Plata,CO,1,1.7762304836675607e-05
08069,Larimer,CO,4,1.1407060970740888e-05
08071,Las Animas,CO,1,6.892748828232699e-05
08077,Mesa,CO,1,6.538041595020628e-06
08089,Otero,CO,1,5.4531573781219325e-05
08093,Park,CO,1,5.398110661268556e-05
08101,Pueblo,CO,1,5.972930678166549e-06
08119,Teller,CO,2,7.96400270776092e-05
08123,Weld,CO,2,6.352937439448565e-06
09001,Fairfield,CT,3,3.1780637328900993e-06
09003,Hartford,CT,2,2.2406955118868896e-06
09009,New Haven,CT,6,7.001403781458183e-06
09011,New London,CT,3,1.1266124640892276e-05
09015,Windham,CT,1,8.542700689395945e-06
10005,Sussex,DE,1,4.3594069462790285e-06
11001,District of Columbia,DC,11,1.5679633723756214e-05
12001,Alachua,FL,5,1.8597661901945686e-05
12005,Bay,FL,1,5.369415807560138e-06
12009,Brevard,FL,6,1.0080594351842985e-05
12011,Broward,FL,24,1.2332312663178336e-05
12015,Charlotte,FL,1,5.409820989023473e-06
12017,Citrus,FL,5,3.385652957029293e-05
12019,Clay,FL,4,1.8526409396594847e-05
