c_fips,county,state,total,per_capita
01001,Autauga,AL,2,3.610760064993681e-05
01003,Baldwin,AL,5,2.3527086734957958e-05
01031,Coffee,AL,1,1.9285287254353654e-05
01043,Cullman,AL,2,2.413505979461064e-05
01055,Etowah,AL,1,9.70807809178017e-06
01069,Houston,AL,1,9.58056295387917e-06
01073,Jefferson,AL,1,1.5160726441368164e-06
01075,Lamar,AL,1,7.203572972194209e-05
01081,Lee,AL,2,1.238850346878097e-05
01083,Limestone,AL,3,3.187081695527462e-05
01089,Madison,AL,5,1.3821241589774492e-05
01095,Marshall,AL,2,2.092663123090445e-05
01097,Mobile,AL,2,4.830392831697038e-06
01101,Montgomery,AL,3,1.320044881525972e-05
01103,Morgan,AL,1,8.409155888931868e-06
01115,St. Clair,AL,1,1.1373200191069764e-05
01117,Shelby,AL,2,9.361849526992553e-06
01121,Talladega,AL,1,1.2477851813031868e-05
02020,Anchorage,AK,2,6.794909253986913e-06
02100,Haines,AK,1,0.0003961965134706815
02122,Kenai Peninsula,AK,1,1.7077085966050755e-05
02170,Matanuska-Susitna,AK,1,9.413359439716846e-06
02188,Northwest Arctic,AK,1,0.0001282873636946761
04003,Cochise,AL,1,8.00871348026653e-06
04005,Coconino,AZ,6,4.255288969581776e-05
04012,La Paz,AZ,1,4.829518014102193e-05
04013,Maricopa,AZ,81,1.8718871210468516e-05
04015,Mohave,AZ,5,2.415260582464242e-05
04017,Navajo,AZ,1,9.167667470365515e-06
04019,Pima,AZ,14,1.364002607193555e-05
04021,Pinal,AZ,5,1.1585767116812338e-05
04025,Yavapai,AZ,1,4.384388070956936e-06
05007,Benton,AR,5,1.875574394658364e-05
05031,Craighead,AR,1,9.329402545061014e-06
05055,Greene,AR,1,2.2225679550152245e-05
05071,Johnson,AR,2,7.575470626112647e-05
05085,Lonoke,AR,1,1.374041605979829e-05
05105,Perry,AR,1,9.665571235260003e-05
05113,Polk,AR,2,9.927036283317616e-05
05115,Pope,AR,1,1.5714869409435208e-05
05119,Pulaski,AR,7,1.7799023596419852e-05
05131,Sebastian,AR,1,7.825583397242264e-06
05135,Sharp,AR,1,5.83192395171167e-05
05137,Stone,AR,1,7.987220447284345e-05
05141,Van Buren,AR,3,0.00018124697921701304
05143,Washington,AR,2,8.593575442998814e-06
05147,Woodruff,AR,2,0.0003041825095057034
06001,Alameda,CA,9,5.421046671597811e-06
06007,Butte,CA,1,4.372616923776542e-06
06013,Contra Costa,CA,8,6.98363646680372e-06
06015,Del Norte,CA,1,3.6561734488684145e-05
06017,El Dorado,CA,1,5.300006890008957e-06
06017,El Dorado,CT,1,5.300006890008957e-06
06019,Fresno,CA,2,2.0299663634573577e-06
06029,Kern,CA,4,4.507773655669202e-06
06031,Kings,CA,2,1.3363177763672201e-05
