c_fips,county,state,total,per_capita
01033,Colbert,AL,1,1.8361426315596197e-05
01039,Covington,AL,1,2.6483050847457626e-05
01051,Elmore,AL,1,1.2416499043929574e-05
01073,Jefferson,AL,2,3.030431594067627e-06
01075,Lamar,AL,1,7.108836283500391e-05
01089,Madison,AL,1,2.8588091344669463e-06
01097,Mobile,AL,2,4.829179836242512e-06
01099,Monroe,AL,1,4.560795402718234e-05
01117,Shelby,AL,1,4.847779716889664e-06
02050,Bethel,AK,1,5.575379125780553e-05
02170,Matanuska-Susitna,AK,1,1.019336819465256e-05
04005,Coconino,AZ,1,7.269238038468808e-06
04013,Maricopa,AZ,5,1.221404478352804e-06
04019,Pima,AZ,1,9.957888091262052e-07
04021,Pinal,AZ,1,2.5295834787843833e-06
05007,Benton,AR,1,4.084283269550443e-06
05031,Craighead,AR,1,9.740797381673664e-06
05051,Garland,AR,1,1.0229341844145748e-05
05111,Poinsett,AR,1,4.1404438555813184e-05
05129,Searcy,AR,1,0.00012619888944977284
05143,Washington,AR,3,1.3640021642167672e-05
05145,White,AR,2,2.548712263129054e-05
05149,Yell,AR,1,4.5938993017273064e-05
06001,Alameda,CA,4,2.4878840048961557e-06
06007,Butte,CA,2,8.947905295370353e-06
06013,Contra Costa,CA,3,2.7054422676656363e-06
06019,Fresno,OR,1,1.041051795449979e-06
06023,Humboldt,CA,1,7.435275923089506e-06
06025,Imperial,CA,1,5.618798251429984e-06
06031,Kings,CA,1,6.68918692932874e-06
06037,Los Angeles,CA,22,2.1912193458373607e-06
06041,Marin,CA,2,7.681701035877384e-06
06045,Mendocino,CA,1,1.1464603038119805e-05
06047,Merced,CA,1,3.781876491477541e-06
06053,Monterey,CA,1,2.3338584514849174e-06
06059,Orange,CA,6,1.9190561314323165e-06
06061,Placer,CA,1,2.708434335363756e-06
06065,Riverside,CA,6,2.5904923748856946e-06
06067,Sacramento,CA,3,2.034012761396065e-06
06071,San Bernardino,CA,3,1.4291287887990602e-06
06073,San Diego,CA,4,1.2311946558764766e-06
06075,San Francisco,CA,5,5.877167205406994e-06
06079,San Luis Obispo,CA,1,3.594187480007332e-06
06081,San Mateo,CA,1,1.3206480684201351e-06
06085,Santa Clara,CA,4,2.1144409444573367e-06
06087,Santa Cruz,CA,1,3.6919305474025424e-06
06099,Stanislaus,CA,2,3.787771180742971e-06
06107,Tulare,CA,1,2.1971358137531913e-06
06109,Tuolumne,CA,1,1.8569757293272177e-05
06111,Ventura,CA,1,1.1872296826416335e-06
06115,Yuba,CA,1,1.3599336352386003e-05
08001,Adams,CO,1,2.0835677347034874e-06
08005,Arapahoe,CO,3,4.846260463884052e-06
08013,Boulder,CO,5,1.6013682089977677e-05
08035,Douglas,CO,4,1.2716781382632056e-05
08041,El Paso,CO,3,4.524006641241749e-06
08059,Jefferson,CO,4,7.1579527539328475e-06
08085,Montrose,CO,1,2.4639645189109277e-05
08093,Park,CO,1,6.104633416763323e-05
08123,Weld,CO,1,3.6086492104275526e-06
09001,Fairfield,CT,5,5.295510677867731e-06
09003,Hartford,CT,1,1.1143215954410875e-06
09005,Litchfield,CT,1,5.39540203838289e-06
09009,New Haven,CT,3,3.4767089473104757e-06
09013,Tolland,CT,1,6.592262002861042e-06
10005,Sussex,DE,3,1.4267845507768843e-05
11001,District of Columbia,DC,4,6.0393037890591975e-06
12005,Bay,FL,1,5.608870990358351e-06
12011,Broward,FL,14,7.5231080323687096e-06
12013,Calhoun,FL,1,6.920415224913495e-05
12017,Citrus,FL,3,2.160947359322327e-05
12021,Collier,FL,3,8.640279253825483e-06
12023,Columbia,FL,1,1.4753832307941988e-05
12031,Duval,FL,1,1.1152399773383236e-06
12033,Escambia,FL,1,3.2471749577867256e-06
12035,Flagler,FL,1,9.814602165101238e-06
12053,Hernando,FL,1,5.704571643715274e-06
12057,Hillsborough,FL,2,1.5011656551312094e-06
12069,Lake,FL,1,3.171180313312615e-06
12071,Lee,FL,2,2.9531977224939163e-06
12073,Leon,FL,2,7.047961377171653e-06
12081,Manatee,FL,1,2.8500990409416727e-06
12085,Martin,FL,1,6.530868148302954e-06
12086,Miami-Dade,FL,13,4.934955389901335e-06
12093,Okeechobee,FL,2,5.054461826177058e-05
12095,Orange,FL,3,2.3873831574893004e-06
12097,Osceola,FL,2,6.429917118368344e-06
12099,Palm Beach,FL,3,2.144916262469113e-06
12101,Pasco,FL,1,2.0686844614904046e-06
12103,Pinellas,FL,1,1.0679196924391286e-06
12105,Polk,FL,2,3.152595058622505e-06
12109,St. Johns,FL,1,4.5906094493104905e-06
12111,St. Lucie,FL,1,3.4477408677963763e-06
12115,Sarasota,FL,1,2.5229398304079847e-06
12127,Volusia,FL,2,3.946991898799128e-06
13029,Bryan,GA,1,2.970532319391635e-05
13031,Bulloch,GA,1,1.3764435451679949e-05
13051,Chatham,GA,5,1.771786776092218e-05
13057,Cherokee,GA,1,4.344671477666217e-06
13063,Clayton,GA,1,3.750529762328929e-06
13067,Cobb,GA,3,4.123467616347075e-06
13089,DeKalb,GA,3,4.138547535356991e-06
13117,Forsyth,GA,1,4.935882881370991e-06
13121,Fulton,GA,4,4.0328800712206624e-06
13135,Gwinnett,GA,2,2.2962481601311617e-06
13145,Harris,GA,1,3.0546476463939885e-05
13153,Houston,GA,1,6.730607437321218e-06
13195,Madison,GA,1,3.5258444397433186e-05
13207,Monroe,GA,1,3.74995312558593e-05
13211,Morgan,GA,4,0.00022351363433169424
13223,Paulding,GA,3,2.019766784261977e-05
13255,Spalding,GA,1,1.570055893989826e-05
13291,Union,GA,1,4.594743613306377e-05
13311,White,GA,2,7.137504014846008e-05
15003,Honolulu,HI,1,1.0127464265242341e-06
16015,Boise,ID,1,0.0001475143826523086
16055,Kootenai,ID,1,6.824587624292802e-06
17031,Cook,IL,10,1.9030672686702793e-06
17043,DuPage,IL,1,1.0713233521707689e-06
17049,Effingham,IL,1,2.9306605708926792e-05
17057,Fulton,IL,1,2.7781636338380332e-05
17073,Henry,IL,1,2.0070648683365445e-05
17089,Kane,IL,1,1.9024970273483947e-06
17097,Lake,IL,4,5.679446367568089e-06
17111,McHenry,IL,1,3.2530481060753925e-06
17113,McLean,IL,1,5.743660434795095e-06
17163,St. Clair,IL,2,7.520465065559654e-06
17167,Sangamon,IL,1,5.020483572977749e-06
17195,Whiteside,IL,1,1.7537398502306168e-05
17197,Will,IL,1,1.4595173667971474e-06
17201,Winnebago,IL,1,3.4638632466790213e-06
18063,Hendricks,IN,1,6.416631909910488e-06
18067,Howard,IN,1,1.2105804733369651e-05
18089,Lake,IN,1,2.0365478884053218e-06
18095,Madison,IN,1,7.707960781895541e-06
18127,Porter,IN,1,5.982077695225106e-06
18141,St. Joseph,IN,1,3.7334607687942415e-06
18157,Tippecanoe,IN,1,5.422023173727045e-06
18181,White,IN,1,4.0928252772889126e-05
19093,Ida,IA,4,0.0005738057667479559
19099,Jasper,IA,1,2.7110556850837715e-05
19129,Mills,IA,1,6.775067750677507e-05
19153,Polk,IA,1,2.1696774557494283e-06
19163,Scott,IA,1,5.837370848169985e-06
19193,Woodbury,IA,1,9.775935557032808e-06
20045,Douglas,KS,1,8.587745287474773e-06
20091,Johnson,KS,3,5.236150382238978e-06
20175,Seward,KS,2,8.582585933141656e-05
21059,Daviess,KY,1,1.015836897227781e-05
21075,Fulton,KY,1,0.00015959144589849984
21111,Jefferson,KY,1,1.3128097410482786e-06
21113,Jessamine,KY,1,1.96575652139726e-05
21185,Oldham,KY,1,1.5632572027075615e-05
21239,Woodford,KY,1,3.908387399359025e-05
22015,Bossier,LA,1,8.008456930518628e-06
22017,Caddo,LA,2,7.91749965360939e-06
22019,Calcasieu,LA,1,5.087246273592105e-06
22039,Evangeline,LA,1,2.9622607974406068e-05
22051,Jefferson,LA,1,2.303733430397302e-06
22071,Orleans,LA,2,5.209147262593113e-06
22073,Ouachita,LA,1,6.395497569710923e-06
22097,St. Landry,LA,1,1.1950286806883365e-05
22099,St. Martin,LA,1,1.8777226979119724e-05
22103,St. Tammany,LA,1,4.077688113946916e-06
23001,Androscoggin,ME,1,9.314629557182511e-06
23005,Cumberland,ME,1,3.471185687607173e-06
23019,Penobscot,ME,1,6.527372536732789e-06
23031,York,ME,2,9.95882027814985e-06
24003,Anne Arundel,MD,1,1.7884544534304346e-06
24005,Baltimore,MD,1,1.212130027612322e-06
24015,Cecil,MD,1,9.785214540828808e-06
24021,Frederick,MD,2,8.217568339352701e-06
24027,Howard,MD,2,6.516589607994552e-06
24031,Montgomery,MD,5,4.879872186387694e-06
24033,Prince George's,MD,3,3.3344967021827614e-06
24039,Somerset,MD,1,3.910680067263697e-05
24047,Worcester,MD,1,1.93903668657411e-05
25001,Barnstable,MA,1,4.66659511220828e-06
25003,Berkshire,MA,1,7.760600980939964e-06
25005,Bristol,MA,1,1.8015096650993532e-06
25009,Essex,MA,3,3.887757839339703e-06
25017,Middlesex,MA,5,3.1746172840133256e-06
25023,Plymouth,MA,1,1.9742829897751884e-06
25027,Worcester,MA,1,1.2262024754575574e-06
26021,Berrien,MI,1,6.411201651525546e-06
