c_fips,county,state,total,per_capita
01003,Baldwin,AL,4,1.7918417445371226e-05
01003,Baldwin,FL,1,4.479604361342806e-06
01029,Cleburne,AL,1,6.70690811535882e-05
01037,Coosa,AL,1,9.378223764419019e-05
01043,Cullman,AL,1,1.1937732785789323e-05
01045,Dale,AL,1,2.033677702757667e-05
01053,Escambia,AL,1,2.729779160865886e-05
01055,Etowah,AL,1,9.778229749286189e-06
01059,Franklin,AL,1,3.188572157387922e-05
01065,Hale,AL,1,6.825472663981981e-05
01069,Houston,AL,7,6.611133148221606e-05
01073,Jefferson,AL,5,7.592172773557373e-06
01077,Lauderdale,AL,2,2.156822568991362e-05
01081,Lee,AL,1,6.077475659709983e-06
01083,Limestone,AL,1,1.010969013799727e-05
01089,Madison,AL,2,5.3632387526179306e-06
01095,Marshall,AL,1,1.0333354000041333e-05
01097,Mobile,AL,2,4.840153916894557e-06
01101,Montgomery,AL,2,8.830567893821251e-06
01117,Shelby,AL,2,9.18687012521704e-06
01125,Tuscaloosa,AL,2,9.553151345800196e-06
01127,Walker,AL,1,1.574282520741172e-05
01129,Washington,AL,1,6.125199068969742e-05
02020,Anchorage,AK,1,3.4722222222222224e-06
02100,Haines,AK,1,0.0003952569169960474
02290,Yukon-Koyukuk,AK,1,0.00019120458891013384
04003,Cochise,AZ,1,7.941424056161751e-06
04007,Gila,AZ,1,1.851234773593987e-05
04012,La Paz,AZ,1,4.737540269092287e-05
04013,Maricopa,AZ,28,6.242456103271627e-06
04015,Mohave,AK,1,4.712957333597259e-06
04015,Mohave,AZ,10,4.712957333597259e-05
04017,Navajo,AZ,1,9.015181565756734e-06
04019,Pima,AZ,5,4.774276959625849e-06
04021,Pinal,AZ,6,1.2964871680182545e-05
04023,Santa Cruz,AZ,1,2.1506301346294466e-05
04025,Yavapai,AZ,3,1.2760581712384996e-05
04025,Yavapai,CA,1,4.253527237461665e-06
05007,Benton,AR,2,7.164837841807545e-06
05027,Columbia,AR,1,4.263119751033807e-05
05031,Craighead,AR,1,9.06355363811043e-06
05051,Garland,AR,1,1.0061779325055843e-05
05051,Garland,AZ,1,1.0061779325055843e-05
05061,Howard,AR,1,7.57460990758976e-05
05065,Izard,AR,1,7.337295472888693e-05
05071,Johnson,AR,1,3.762510346903454e-05
05093,Mississippi,AR,1,2.4599640845243658e-05
05099,Nevada,AR,1,0.0001211827435773146
05119,Pulaski,AR,6,1.5309598352687217e-05
05123,St. Francis,AR,1,4.000960230455309e-05
05125,Saline,AR,1,8.167465717062652e-06
05143,Washington,AR,1,4.180829225668619e-06
06001,Alameda,CA,13,7.778241148211992e-06
06005,Amador,CA,1,2.51559669953713e-05
06005,Amador,IN,1,2.51559669953713e-05
06007,Butte,CA,5,2.2811675928207095e-05
06009,Calaveras,CA,1,2.1784119376974187e-05
06013,Contra Costa,CA,16,1.3870515272304223e-05
06015,Del Norte,CA,1,3.5955702574428306e-05
06017,El Dorado,CA,6,3.1113392759913505e-05
06019,Fresno,CA,10,1.0008998089282265e-05
06023,Humboldt,CA,4,2.9507664615883975e-05
06025,Imperial,CA,1,5.518306983417488e-06
06029,Kern,CA,6,6.665170706130402e-06
06037,Los Angeles,CA,96,9.562603526389349e-06
06037,Los Angeles,FL,1,9.961045339988905e-08
06039,Madera,CA,2,1.2712376133785047e-05
06041,Marin,CA,3,1.1590798451469327e-05
06047,Merced,CA,1,3.6012676462114663e-06
06053,Monterey,CA,1,2.3038236561220656e-06
06055,Napa,NV,1,7.259844348937159e-06
06057,Nevada,CA,3,3.0073680517267305e-05
06059,Orange,CA,28,8.81697595358744e-06
06061,Placer,CA,5,1.2552437808946876e-05
06061,Placer,IL,1,2.510487561789375e-06
06063,Plumas,CA,1,5.317169139150316e-05
06065,Riverside,CA,23,9.309682960770614e-06
06067,Sacramento,CA,19,1.2241810550894362e-05
06071,San Bernardino,CA,19,8.715256515227617e-06
06073,San Diego,CA,23,6.88967238110073e-06
06075,San Francisco,CA,7,7.94056824975129e-06
06077,San Joaquin,CA,2,2.624162236206091e-06
06079,San Luis Obispo,CA,3,1.0596550469603795e-05
06081,San Mateo,CA,5,6.522536014182602e-06
06083,Santa Barbara,CA,5,1.1198233366704069e-05
06085,Santa Clara,CA,17,8.818104294313048e-06
06087,Santa Cruz,CA,8,2.9281183545438908e-05
06089,Shasta,CA,4,2.2212350066637052e-05
06095,Solano,CA,1,2.2339230145450726e-06
06097,Sonoma,CA,4,8.091662351113412e-06
06099,Stanislaus,CA,1,1.8160026150437657e-06
06103,Tehama,CA,2,3.072951877573597e-05
06111,Ventura,CA,10,1.1820247137727155e-05
06115,Yuba,CA,1,1.2711648955102456e-05
08001,Adams,CO,7,1.3528635289251886e-05
08005,Arapahoe,CO,8,1.2184163633317595e-05
08007,Archuleta,CO,1,7.128091809822511e-05
08014,Broomfield,CO,1,1.4191442560136238e-05
08021,Conejos,CO,1,0.0001218769043266301
08029,Delta,CO,1,3.209036647198511e-05
08031,Denver,CO,8,1.1000933704248148e-05
08035,Douglas,CO,1,2.847753407336952e-06
08039,Elbert,CO,1,3.7412548168655765e-05
08041,El Paso,CO,5,6.94055965896866e-06
08049,Grand,CO,1,6.355662895640016e-05
08051,Gunnison,CO,1,5.7267208796243274e-05
