c_fips,county,state,total,per_capita
01001,Autauga,AL,2,3.645377661125693e-05
01003,Baldwin,AL,5,2.4637945392457832e-05
01009,Blount,AL,3,5.2150332023780554e-05
01015,Calhoun,AL,1,8.660333076410118e-06
01029,Cleburne,AL,1,6.705109293281481e-05
01043,Cullman,AL,1,1.2230770171597706e-05
01051,Elmore,AL,3,3.7095657335047975e-05
01055,Etowah,AL,1,9.708926386920135e-06
01073,Jefferson,AL,2,3.028215396961186e-06
01081,Lee,AL,1,6.371293500006371e-06
01083,Limestone,AL,1,1.0921203516627532e-05
01089,Madison,AL,3,8.499137337560237e-06
01097,Mobile,AL,4,9.651065718932013e-06
01103,Morgan,AL,1,8.385252018749423e-06
01109,Pike,AL,1,2.9854310962502986e-05
01115,St. Clair,AL,1,1.1554549025951517e-05
01117,Shelby,AL,2,9.571255605166563e-06
01121,Talladega,AL,3,3.697860171580712e-05
01125,Tuscaloosa,AL,5,2.4417997040538757e-05
01127,Walker,AL,1,1.540096410035268e-05
02016,Aleutians West,AK,1,0.0001729804532087874
02020,Anchorage,AK,1,3.360813585752839e-06
02170,Matanuska-Susitna,AK,2,1.9789831984326454e-05
04005,Coconino,AZ,1,7.196211914048445e-06
04007,Gila,AZ,1,1.887575974932991e-05
04012,La Paz,AZ,1,4.88615264340858e-05
04013,Maricopa,AZ,18,4.313541765269039e-06
04015,Mohave,AZ,5,2.4441033562427287e-05
04017,Navajo,AZ,3,2.787119790408592e-05
04019,Pima,AK,1,9.909791170970654e-07
04019,Pima,AZ,10,9.909791170970654e-06
04021,Pinal,AZ,2,4.930796274290335e-06
04025,Yavapai,AZ,2,9.057765902040262e-06
05007,Benton,AR,2,7.949409955046087e-06
05009,Boone,AR,1,2.694038093698645e-05
05019,Clark,AR,1,4.441878026029405e-05
05023,Cleburne,AR,1,3.9439952672056795e-05
05043,Drew,AR,1,5.3725890506635145e-05
05045,Faulkner,AR,1,8.24803490568372e-06
05051,Garland,AR,2,2.0446970781278752e-05
05059,Hot Spring,AR,1,2.9853419709227693e-05
05069,Jefferson,AR,1,1.3913624220837043e-05
05083,Logan,AR,1,4.6021445993833124e-05
05115,Pope,AR,1,1.572129291912967e-05
05119,Pulaski,AR,3,7.622416000975669e-06
05125,Saline,AR,3,2.5775410258613282e-05
05143,Washington,AR,5,2.2278264434087527e-05
06001,Alameda,CA,19,1.1624079709373536e-05
06003,Alpine,CA,1,0.0009285051067780873
06007,Butte,CA,3,1.3355235920242531e-05
06013,Contra Costa,CA,12,1.067231113344391e-05
06017,El Dorado,CA,5,2.7090139730940733e-05
06019,Fresno,CA,8,8.251778258214646e-06
06019,Fresno,OR,1,1.0314722822768307e-06
06021,Glenn,CA,1,3.6032140669477175e-05
06023,Humboldt,CA,2,1.480362985003923e-05
06029,Kern,CA,2,2.2830242308776744e-06
06033,Lake,CA,1,1.556178026766262e-05
06037,Los Angeles,CA,72,7.139021335361873e-06
06039,Madera,CA,1,6.511434078241392e-06
06041,Marin,CA,6,2.299590672860231e-05
06045,Mendocino,CA,2,2.2960267257510878e-05
06047,Merced,CA,1,3.754416131975236e-06
06051,Mono,CA,2,0.00014207572636215103
06053,Monterey,CA,4,9.290399301361972e-06
06057,Nevada,CA,11,0.00011147594146499655
06059,Orange,CA,16,5.080526342529086e-06
06061,Placer,CA,2,5.3642169182037385e-06
06065,Riverside,CA,12,5.115490729025636e-06
06067,Sacramento,CA,22,1.472878285355439e-05
06071,San Bernardino,CA,13,6.145377895832063e-06
06073,San Diego,CA,25,7.619976530472286e-06
06075,San Francisco,CA,10,1.1587351247378362e-05
06077,San Joaquin,CA,6,8.307131256827424e-06
06079,San Luis Obispo,CA,5,1.78522334929323e-05
06081,San Mateo,CA,7,9.14966897804733e-06
06083,Santa Barbara,CA,1,2.2612718749788005e-06
06085,Santa Clara,AL,2,1.04368609053455e-06
06085,Santa Clara,CA,23,1.2002390041147324e-05
06087,Santa Cruz,CA,8,2.925013619594666e-05
06089,Shasta,CA,3,1.6824253844342004e-05
06095,Solano,CA,5,1.1536447097314545e-05
06097,Sonoma,CA,7,1.3975877635201642e-05
06099,Stanislaus,CA,2,3.7508603535936054e-06
06107,Tulare,CA,3,6.5622395611174185e-06
06111,Ventura,CA,3,3.5469294231983374e-06
06115,Yuba,CA,1,1.3505300830576001e-05
08001,Adams,CO,7,1.4272810499894994e-05
08005,Arapahoe,CO,12,1.9017914875813017e-05
08013,Boulder,CO,7,2.2010709782502742e-05
08014,Broomfield,CO,1,1.5416396879721273e-05
08019,Clear Creek,CO,1,0.00010817827780181739
08021,Conejos,CO,1,0.00012399256044637322
08029,Delta,CO,1,3.343028114866446e-05
08031,Denver,CO,10,1.4635181512838713e-05
08035,Douglas,CO,5,1.5526744817948918e-05
08037,Eagle,CO,2,3.71298616912652e-05
08039,Elbert,CO,1,4.060089321965083e-05
08041,El Paso,CO,8,1.1869418591367075e-05
08043,Fremont,CO,1,2.1606672140356942e-05
08059,Jefferson,CO,8,1.4162099389613516e-05
08065,Lake,CO,1,0.0001343724805159903
08069,Larimer,CO,3,9.000819074535783e-06
08101,Pueblo,CO,2,1.2269487012747998e-05
08107,Routt,CO,1,4.105090311986864e-05
08123,Weld,CO,4,1.3994870879822545e-05
09001,Fairfield,CT,5,5.291324450257846e-06
09003,Hartford,CT,10,1.115710316973301e-05
09007,Middlesex,CT,1,6.107840023454106e-06
09009,New Haven,CT,8,9.300314118109339e-06
09011,New London,CT,3,1.1126110756723879e-05
09013,Tolland,CT,2,1.3180961419325925e-05
10001,Kent,DE,1,5.77607319439952e-06
10003,New Castle,DE,8,1.4453791229439481e-05
10005,Sussex,DE,3,1.397715201550532e-05
11001,District of Columbia,DC,18,2.6650873556411015e-05
11001,District of Columbia,IN,1,1.4806040864672787e-06
12001,Alachua,FL,3,1.1580686503095904e-05
12009,Brevard,FL,2,3.5351553524019615e-06
12011,Broward,FL,31,1.644527437083563e-05
12015,Charlotte,FL,3,1.7403209151767587e-05
12017,Citrus,FL,1,7.1282442421607135e-06
12019,Clay,FL,1,4.940906755207716e-06
12021,Collier,FL,2,5.6173305883311196e-06
12031,Duval,FL,34,3.7338920993039585e-05
12055,Highlands,FL,1,9.98631874332165e-06
12057,Hillsborough,FL,13,9.530281737121107e-06
12061,Indian River,FL,2,1.3565391972001032e-05
12069,Lake,FL,3,9.226397337876822e-06
12071,Lee,FL,8,1.143438663091515e-05
12073,Leon,FL,2,6.995355084224075e-06
12081,Manatee,FL,2,5.516510917175105e-06
12085,Martin,FL,3,1.9285287254353654e-05
12086,Miami-Dade,FL,25,9.399065131385771e-06
12087,Monroe,FL,2,2.6093309675399228e-05
12089,Nassau,FL,2,2.5657143590204104e-05
12091,Okaloosa,FL,4,2.022776462973077e-05
12095,Orange,FL,13,1.0067366167919022e-05
12097,Osceola,FL,1,3.088936664442632e-06
12099,Palm Beach,FL,36,2.5276354812617956e-05
12101,Pasco,FL,3,6.06189191646713e-06
12103,Pinellas,FL,12,1.267079171330222e-05
12105,Polk,FL,4,6.1678614328250505e-06
12107,Putnam,FL,1,1.3900665841893827e-05
12109,St. Johns,FL,3,1.3253107853791714e-05
12111,St. Lucie,FL,8,2.6910475575379606e-05
12115,Sarasota,FL,10,2.4705937577978117e-05
12117,Seminole,FL,2,4.461119116341525e-06
12121,Suwannee,FL,2,4.5790690752570005e-05
12125,Union,FL,1,6.550933508024893e-05
12127,Volusia,FL,6,1.1611479883111102e-05
12129,Wakulla,FL,1,3.172286901627383e-05
12131,Walton,FL,1,1.585640440173786e-05
12133,Washington,FL,1,4.072987943955686e-05
13013,Barrow,GA,2,2.667413542458555e-05
13015,Bartow,GA,2,1.9599580568975825e-05
13017,Ben Hill,GA,1,5.761364291064124e-05
13021,Bibb,GA,2,1.29916528630355e-05
13027,Brooks,GA,1,6.381620931716656e-05
13029,Bryan,GA,1,2.8742239595309267e-05
13045,Carroll,GA,1,8.736600239382846e-06
13051,Chatham,GA,4,1.3988019261502523e-05
13057,Cherokee,GA,3,1.274811009267876e-05
13059,Clarke,GA,1,8.093168556421525e-06
13067,Cobb,GA,16,2.1649356202269936e-05
13073,Columbia,GA,5,3.476157038870388e-05
13075,Cook,GA,1,5.858230814294083e-05
13077,Coweta,GA,2,1.4477541713417061e-05
13085,Dawson,GA,1,4.2791732637254484e-05
13089,DeKalb,GA,12,1.6339112840636463e-05
13097,Douglas,GA,2,1.4268083011706963e-05
13103,Effingham,GA,1,1.752049898381106e-05
13115,Floyd,GA,3,3.118957020772254e-05
13117,Forsyth,GA,2,9.467455621301774e-06
13119,Franklin,GA,1,4.490950734270445e-05
13121,Fulton,GA,24,2.3877579649138863e-05
13127,Glynn,GA,2,2.4006433724238094e-05
13133,Greene,GA,1,6.017933441656135e-05
13135,Gwinnett,GA,16,1.8008000054024e-05
13137,Habersham,GA,1,2.2835221044939714e-05
13139,Hall,GA,2,1.0403391505630836e-05
13151,Henry,GA,4,1.8483092591052334e-05
13157,Jackson,GA,5,7.884196915702167e-05
13159,Jasper,GA,1,7.308338814587444e-05
13179,Liberty,GA,1,1.6230867864504717e-05
13185,Lowndes,GA,1,8.822854722874133e-06
13187,Lumpkin,GA,3,9.58926002876778e-05
13195,Madison,GA,3,0.00010556317956296844
13207,Monroe,GA,1,3.74419649543208e-05
13217,Newton,GA,2,1.906868540482819e-05
13223,Paulding,GA,2,1.3188349412129325e-05
13225,Peach,GA,5,0.0001853911753800519
13237,Putnam,GA,1,4.693293283897311e-05
13241,Rabun,GA,1,6.164088023176972e-05
13245,Richmond,GA,1,4.963986279541923e-06
13259,Stewart,GA,1,0.00016742005692281934
13271,Telfair,GA,1,6.078657832350617e-05
13281,Towns,GA,1,8.919015340706386e-05
13297,Walton,GA,2,2.264159487394292e-05
13305,Wayne,GA,2,6.795786612300373e-05
13313,Whitfield,GA,1,9.646085136347413e-06
13319,Wilkinson,GA,2,0.00022026431718061675
15001,Hawaii,HI,1,5.102691669855849e-06
15003,Honolulu,HI,5,5.0450828604408996e-06
15007,Kauai,NH,1,1.4080342433927994e-05
16001,Ada,ID,5,1.1551025500043895e-05
16015,Boise,ID,2,0.0002872325147206664
16021,Boundary,ID,1,8.850340738118418e-05
16027,Canyon,ID,1,4.834608058324711e-06
16041,Franklin,ID,1,7.719027402547279e-05
16065,Madison,ID,1,2.632340940798652e-05
16067,Minidoka,ID,1,4.894762604013705e-05
16069,Nez Perce,ID,1,2.5003125390673835e-05
16073,Owyhee,ID,1,8.858965272856131e-05
16087,Washington,ID,1,0.00010110201193003741
17001,Adams,IL,2,2.9924440787012793e-05
17019,Champaign,IL,3,1.4327879187322693e-05
17025,Clay,IL,1,7.462129691814044e-05
17031,Cook,IL,77,1.4683201349786655e-05
17037,DeKalb,IL,1,9.597389510053265e-06
17043,DuPage,IL,15,1.6066683161794714e-05
17049,Effingham,IL,2,5.847611250804047e-05
17055,Franklin,IL,1,2.5391666455069447e-05
17089,Kane,IL,5,9.456085936908994e-06
17093,Kendall,IL,4,3.25526131610215e-05
17097,Lake,IL,10,1.4192228052074123e-05
17103,Lee,IL,1,2.8967874627038616e-05
17107,Logan,IL,1,3.414834039065701e-05
17111,McHenry,IL,4,1.3005084988230398e-05
17113,McLean,IL,3,1.7326918523053464e-05
17115,Macon,IL,1,9.315931173900487e-06
17119,Madison,RI,1,3.7594550293989385e-06
17143,Peoria,IL,2,1.072495321239161e-05
17161,Rock Island,IL,3,2.0534724218653743e-05
17163,St. Clair,IL,3,1.1326824185035e-05
17165,Saline,IL,3,0.0001224739742804654
17167,Sangamon,IL,2,1.0055405283109937e-05
17177,Stephenson,IL,1,2.189717088552159e-05
17183,Vermilion,IL,2,2.5262094227611468e-05
17187,Warren,IL,4,0.00022916069894013177
17197,Will,IL,8,1.1663898920651953e-05
17199,Williamson,IL,2,2.9661268315833184e-05
17201,Winnebago,IL,4,1.393009876440024e-05
18003,Allen,IN,2,5.444221231373958e-06
18005,Bartholomew,IN,1,1.2276265069115372e-05
18017,Cass,IN,1,2.6259814605708884e-05
18019,Clark,IN,1,8.709359949137337e-06
18039,Elkhart,IN,4,1.9704918840365525e-05
18041,Fayette,IN,1,4.275696938600992e-05
18057,Hamilton,IN,5,1.6211238927723812e-05
18059,Hancock,IN,1,1.3809675058345877e-05
18073,Jasper,IN,1,2.9870362626202283e-05
18085,Kosciusko,IN,2,2.546246196544744e-05
18089,Lake,IN,2,4.0991334431901095e-06
18095,Madison,IN,2,1.5457383992333137e-05
18097,Marion,IN,10,1.0640074991248539e-05
18099,Marshall,IN,2,4.279631095799542e-05
18105,Monroe,IN,2,1.3865106380028701e-05
18109,Morgan,IN,2,2.8752569760922384e-05
18127,Porter,IN,1,5.976071808478851e-06
18129,Posey,IN,1,3.904267364229103e-05
18135,Randolph,IN,1,3.9780412125069614e-05
18141,St. Joseph,IN,2,7.452647739425625e-06
18157,Tippecanoe,IN,4,2.142210654284689e-05
18163,Vanderburgh,IN,2,1.101904090267983e-05
18167,Vigo,IN,3,2.789841258032418e-05
19011,Benton,IA,1,3.9050296782255544e-05
19017,Bremer,IA,2,8.082114281095935e-05
19027,Carroll,IA,1,4.896440287910689e-05
19031,Cedar,IA,1,5.478251342171579e-05
19049,Dallas,IA,1,1.2402177822425619e-05
19061,Dubuque,IA,1,1.0325245224574083e-05
19085,Harrison,IA,5,0.00035363179857132753
19089,Howard,IA,1,0.00010737678513905293
19093,Ida,IA,2,0.0002870264064293915
19103,Johnson,IA,2,1.379852769709472e-05
19113,Linn,IA,2,9.079724521158028e-06
19117,Lucas,IA,1,0.00011614401858304297
19123,Mahaska,IA,1,4.4818931516672646e-05
19125,Marion,IA,1,3.0203267993596907e-05
19127,Marshall,IA,2,4.956383822363204e-05
19153,Polk,IA,4,8.559738414394057e-06
19157,Poweshiek,IA,1,5.447216472382613e-05
19163,Scott,IA,2,1.163446827571363e-05
19179,Wapello,IA,1,2.8203971119133575e-05
19181,Warren,IA,1,2.063216967896344e-05
19193,Woodbury,IA,2,1.951371814385513e-05
20021,Cherokee,KS,1,4.8697345994643294e-05
20045,Douglas,KS,1,8.464461956475737e-06
20059,Franklin,KS,1,3.926341827319486e-05
20091,Johnson,KS,6,1.0350466806052953e-05
20121,Miami,KS,2,6.105378838756945e-05
20133,Neosho,KS,1,6.13986615091791e-05
20173,Sedgwick,KS,1,1.9566293537448906e-06
20175,Seward,KS,1,4.296824646586173e-05
20177,Shawnee,KS,1,5.59631538594989e-06
21001,Adair,KY,2,0.00010437323870159691
21019,Boyd,KY,2,4.126178539745415e-05
21037,Campbell,KY,1,1.0854934653293388e-05
21039,Carlisle,KY,2,0.00041220115416323167
21049,Clark,KY,1,2.8042624789680313e-05
21051,Clay,KY,7,0.00033374654333937257
21057,Cumberland,KY,1,0.00014843402107763098
21059,Daviess,KY,1,1.0051766597979595e-05
21067,Fayette,KY,2,6.332741222029074e-06
21069,Fleming,KY,2,0.00013719303059404582
21071,Floyd,KY,1,2.664464043057739e-05
21073,Franklin,KY,2,3.994407829039345e-05
21079,Garrard,KY,1,5.8115883070843265e-05
21085,Grayson,KY,1,3.8258474252046826e-05
21093,Hardin,KY,1,9.409816320385426e-06
21107,Hopkins,KY,2,4.3426338074041906e-05
21111,Jefferson,KY,12,1.568738185440541e-05
21121,Knox,KY,1,3.1781344350866045e-05
21125,Laurel,KY,2,3.33783941654567e-05
21155,Marion,KY,1,5.205080158234437e-05
21157,Marshall,KY,1,3.2196786760681284e-05
21159,Martin,KY,1,8.14000814000814e-05
21167,Mercer,KY,1,4.6779248725265475e-05
21193,Perry,KY,2,7.306469879077923e-05
21195,Pike,KY,1,1.618620611514867e-05
21199,Pulaski,KY,1,1.565876421032852e-05
21205,Rowan,KY,1,4.058112166220274e-05
21217,Taylor,KY,2,7.81677479871805e-05
21231,Wayne,KY,1,4.852249017419574e-05
21235,Whitley,KY,2,5.538785344373979e-05
21239,Woodford,KY,1,3.8669760247486464e-05
22003,Allen,LA,2,7.80305099293824e-05
22011,Beauregard,LA,1,2.7374011113848512e-05
22017,Caddo,LA,1,3.978595158049693e-06
22019,Calcasieu,LA,6,3.023431594860166e-05
22021,Caldwell,LA,1,9.955201592832254e-05
22031,De Soto,LA,1,3.6899007416700494e-05
22033,East Baton Rouge,LA,3,6.733825351505684e-06
22039,Evangeline,LA,1,2.9652473016249555e-05
22047,Iberville,LA,1,3.017865765330758e-05
22051,Jefferson,LA,3,6.8937783650255645e-06
22053,Jefferson Davis,LA,1,3.1815723330469915e-05
22055,Lafayette,LA,1,4.178296257917872e-06
22061,Lincoln,LA,1,2.1081924358055404e-05
22063,Livingston,LA,1,7.293094897750809e-06
22071,Orleans,LA,3,7.697399818341364e-06
22073,Ouachita,LA,1,6.374298827129016e-06
22103,St. Tammany,LA,4,1.606877435423613e-05
22109,Terrebonne,LA,1,8.78603372079742e-06
22117,Washington,LA,1,2.1571249838215627e-05
22127,Winn,LA,1,6.829668078131402e-05
23001,Androscoggin,ME,1,9.334976289160225e-06
23003,Aroostook,ME,1,1.4531081984364556e-05
23005,Cumberland,ME,4,1.3817498480075166e-05
23011,Kennebec,ME,1,8.263779852904718e-06
23019,Penobscot,ME,2,1.3164043730953274e-05
23023,Sagadahoc,ME,1,2.8473804100227792e-05
23025,Somerset,ME,1,1.9712590431508603e-05
23029,Washington,ME,1,3.147029204431017e-05
23031,York,ME,1,4.96961082977592e-06
24003,Anne Arundel,MD,6,1.0656682539203271e-05
24005,Baltimore,MD,18,2.175139843365763e-05
24009,Calvert,MD,4,4.42101307514617e-05
24013,Carroll,MD,2,1.1966589282722638e-05
24015,Cecil,MD,2,1.9534683831142194e-05
24017,Charles,MD,1,6.424051649375261e-06
24021,Frederick,MD,3,1.2244847980212326e-05
24023,Garrett,OH,1,3.398355196085095e-05
24025,Harford,MD,3,1.202125357632294e-05
24027,Howard,MD,8,2.5698930603250273e-05
24031,Montgomery,AK,1,9.682285484123957e-07
24031,Montgomery,AL,1,9.682285484123957e-07
24031,Montgomery,CT,1,9.682285484123957e-07
24031,Montgomery,KS,1,9.682285484123957e-07
24031,Montgomery,MD,21,2.033279951666031e-05
24031,Montgomery,NE,1,9.682285484123957e-07
24031,Montgomery,WY,1,9.682285484123957e-07
24033,Prince George's,MD,7,7.724589686348553e-06
24035,Queen Anne's,MD,2,4.082965866405357e-05
24041,Talbot,MD,1,2.6728677197765484e-05
24045,Wicomico,MD,2,1.965659921177037e-05
24510,Baltimore City,MD,9,1.445732038385792e-05
25003,Berkshire,MA,1,7.821176617810383e-06
25005,Bristol,MA,4,7.183095303512714e-06
25009,Essex,MA,3,3.8616748083643875e-06
25013,Hampden,MA,2,4.2633651167202785e-06
25015,Hampshire,MA,2,1.2444853741856398e-05
25017,Middlesex,MA,16,1.0091886627745623e-05
25021,Norfolk,MA,7,1.0079164638834734e-05
25023,Plymouth,MA,4,7.855135589459194e-06
25025,Suffolk,MA,7,8.944646692844667e-06
25027,Worcester,MA,3,3.66695717116256e-06
26005,Allegan,MI,1,8.763320246775098e-06
26021,Berrien,MI,2,1.2901394640760667e-05
26025,Calhoun,MI,2,1.488903943362094e-05
26031,Cheboygan,MI,1,3.937162880428363e-05
26037,Clinton,MI,1,1.2985495201859523e-05
26045,Eaton,MI,1,9.20293389532583e-06
26049,Genesee,MI,2,4.8725701101931734e-06
26057,Gratiot,MI,1,2.419491422902906e-05
26059,Hillsdale,MI,1,2.1794564435629754e-05
26061,Houghton,MI,1,2.760295903720879e-05
26065,Ingham,MI,6,2.0898932761166996e-05
26067,Ionia,MI,2,3.122268015486449e-05
26075,Jackson,MI,2,1.2557765722322685e-05
26077,Kalamazoo,MI,2,7.70190545140868e-06
26081,Kent,MI,6,9.416727875397856e-06
26081,Kent,WI,1,1.5694546458996429e-06
26085,Lake,MI,1,8.54920064973925e-05
26087,Lapeer,MI,1,1.1316313597682419e-05
26093,Livingston,MI,3,1.602812401493821e-05
26099,Macomb,MI,3,3.4683684794672588e-06
26117,Montcalm,MI,1,1.5932954129025062e-05
26121,Muskegon,MI,4,2.3195532540432712e-05
26125,Oakland,MI,23,1.8479803182061415e-05
26133,Osceola,MI,1,4.31462225482159e-05
26139,Ottawa,MI,3,1.0681516348060771e-05
26147,St. Clair,MI,1,6.2617407639323735e-06
26155,Shiawassee,MI,2,2.9194949273775636e-05
26159,Van Buren,MI,1,1.332267519317879e-05
26161,Washtenaw,MI,4,1.1020042702665473e-05
26163,Wayne,MI,16,9.065813271444049e-06
27003,Anoka,MN,3,8.716470642926875e-06
27013,Blue Earth,MN,1,1.522695780609992e-05
27017,Carlton,MN,1,2.824140755175238e-05
27019,Carver,MN,2,2.0277805941397142e-05
27037,Dakota,MN,2,4.829389734166242e-06
27045,Fillmore,MN,2,9.643666522011669e-05
27049,Goodhue,MN,1,2.1710811984368215e-05
27053,Hennepin,ME,1,8.181966944853543e-07
27053,Hennepin,MN,9,7.363770250368188e-06
27065,Kanabec,MN,1,6.294058408862034e-05
27089,Marshall,MN,1,0.00010628122010840685
27097,Morrison,MN,1,3.0511060259344013e-05
27099,Mower,MN,1,2.532158411830244e-05
27109,Olmsted,MN,7,4.623605487559199e-05
27111,Otter Tail,MN,1,1.7385257301808068e-05
27123,Ramsey,MN,6,1.1180867299876451e-05
27129,Renville,MN,1,6.757669955399378e-05
27137,St. Louis,MN,2,9.985221871629987e-06
27139,Scott,MN,1,7.075688641397024e-06
27163,Washington,MN,4,1.5975334084174034e-05
27171,Wright,MN,3,2.2905484336466294e-05
28003,Alcorn,MS,1,2.682691275887971e-05
28035,Forrest,MS,1,1.3228738110671622e-05
28045,Hancock,MS,1,2.1595939963286902e-05
28047,Harrison,MS,2,9.96641318755793e-06
28049,Hinds,MS,2,8.189471615291381e-06
28067,Jones,MS,1,1.4571099680892917e-05
28075,Lauderdale,MS,2,2.55271353448716e-05
28089,Madison,MS,2,1.952114628170966e-05
28105,Oktibbeha,MS,2,4.039587962027873e-05
28109,Pearl River,MS,1,1.8200349446709377e-05
28121,Rankin,MS,3,2.007400616941123e-05
28141,Tishomingo,MS,1,5.1332067142343825e-05
29019,Boone,MO,2,1.146762688929153e-05
29027,Callaway,MO,2,4.474373028479384e-05
29029,Camden,MO,1,2.2353861629596513e-05
29037,Cass/Van Buren,MO,1,9.867869230996951e-06
29039,Cedar,MO,1,7.255840951966333e-05
29043,Christian,MO,1,1.2037025891642693e-05
29047,Clay,MO,2,8.504811597161095e-06
29051,Cole,MO,1,1.3017782290608973e-05
29077,Greene,MO,4,1.3922147352007574e-05
29083,Henry/Rives,MO,1,4.6029919447640965e-05
29089,Howard,MO,1,9.867771857114664e-05
29095,Jackson,MO,3,4.368191990774379e-06
