c_fips,county,state,total,per_capita
01003,Baldwin,AL,5,2.3527086734957958e-05
01015,Calhoun,AL,2,1.7435271554354458e-05
01031,Coffee,AL,1,1.9285287254353654e-05
01033,Colbert,AL,1,1.8283206874485784e-05
01053,Escambia,AL,2,5.406428243181142e-05
01055,Etowah,AL,2,1.941615618356034e-05
01061,Geneva,AL,2,7.580064430547659e-05
01067,Henry,AL,7,0.00040899795501022495
01069,Houston,AL,3,2.874168886163751e-05
01073,Jefferson,AL,7,1.0612508508957716e-05
01083,Limestone,AL,1,1.0623605651758207e-05
01087,Macon,AL,1,5.321130208056191e-05
01089,Madison,AL,5,1.3821241589774492e-05
01093,Marion,AL,2,6.713211600429645e-05
01095,Marshall,AL,1,1.0463315615452225e-05
01097,Mobile,AL,3,7.245589247545556e-06
01099,Monroe,AL,1,4.697040864255519e-05
01101,Montgomery,AL,1,4.4001496050865726e-06
01109,Pike,AL,2,5.9971813247773545e-05
01111,Randolph,AL,2,8.815621280909772e-05
01115,St. Clair,AL,1,1.1373200191069764e-05
01117,Shelby,AL,2,9.361849526992553e-06
01125,Tuscaloosa,AL,2,9.633076130200657e-06
01127,Walker,AL,1,1.565067689177557e-05
01133,Winston,AL,2,8.417508417508418e-05
02020,Anchorage,AK,8,2.7179637015947653e-05
02020,Anchorage,AR,1,3.3974546269934566e-06
02110,Juneau,AK,1,3.115458907097015e-05
02122,Kenai Peninsula,AK,1,1.7077085966050755e-05
02170,Matanuska-Susitna,AK,1,9.413359439716846e-06
02290,Yukon-Koyukuk,AK,1,0.00018487705675725643
04012,La Paz,AZ,2,9.659036028204386e-05
04013,Maricopa,AZ,32,7.395109614012254e-06
04013,Maricopa,MI,1,2.3109717543788294e-07
04015,Mohave,AZ,6,2.8983126989570904e-05
04017,Navajo,AZ,2,1.833533494073103e-05
04019,Pima,AK,1,9.742875765668249e-07
04019,Pima,AS,2,1.9485751531336498e-06
04019,Pima,AZ,9,8.768588189101425e-06
04021,Pinal,AZ,4,9.26861369344987e-06
04023,Santa Cruz,AZ,1,2.1474895846755144e-05
04025,Yavapai,AZ,5,2.1921940354784683e-05
04027,Yuma,AZ,2,9.546220412683108e-06
05005,Baxter,AR,1,2.4208385784835866e-05
05007,Benton,AR,5,1.875574394658364e-05
05023,Cleburne,AR,1,3.990582225946766e-05
05027,Columbia,AR,1,4.22029964127453e-05
05031,Craighead,AR,1,9.329402545061014e-06
05033,Crawford,AR,1,1.5899767863389194e-05
05045,Faulkner,AR,1,8.095199546668826e-06
05053,Grant,AR,1,5.5239463072418936e-05
05061,Howard,AR,1,7.482229704451927e-05
05083,Logan,AR,1,4.600027600165601e-05
05085,Lonoke,AR,1,1.374041605979829e-05
05089,Marion,AR,1,6.086797735711242e-05
05091,Miller,AR,1,2.2864459484177794e-05
05101,Newton,AR,1,0.00012795905310300704
05105,Perry,AR,1,9.665571235260003e-05
05109,Pike,AR,1,9.315323707498835e-05
05115,Pope,AR,1,1.5714869409435208e-05
05119,Pulaski,AR,6,1.5256305939788446e-05
05131,Sebastian,AR,1,7.825583397242264e-06
05145,White,AR,1,1.268327329917305e-05
06001,Alameda,CA,29,1.746781705292628e-05
06005,Amador,CA,1,2.5954475849360223e-05
06007,Butte,CA,2,8.745233847553084e-06
