c_fips,county,state,total,per_capita
01003,Baldwin,AL,2,9.410834693983183e-06
01005,Barbour,AL,3,0.00011925110307270342
01007,Bibb,AL,1,4.434589800443459e-05
01009,Blount,AL,1,1.7304930174606745e-05
01021,Chilton,AL,1,2.2665457842248415e-05
01027,Clay,AL,1,7.49063670411985e-05
01051,Elmore,AL,1,1.2281692908550515e-05
01055,Etowah,AL,2,1.941615618356034e-05
01059,Franklin,AL,3,9.511128019783147e-05
01069,Houston,AL,1,9.58056295387917e-06
01073,Jefferson,AL,10,1.5160726441368164e-05
01077,Lauderdale,AL,1,1.0803336070178471e-05
01079,Lawrence,AL,1,3.0245289296192117e-05
01081,Lee,AL,4,2.477700693756194e-05
01083,Limestone,AL,2,2.1247211303516414e-05
01089,Madison,AL,10,2.7642483179548984e-05
01095,Marshall,AL,1,1.0463315615452225e-05
01097,Mobile,AL,5,1.2075982079242594e-05
01099,Monroe,AL,1,4.697040864255519e-05
01101,Montgomery,AL,1,4.4001496050865726e-06
01103,Morgan,AL,1,8.409155888931868e-06
01111,Randolph,AL,1,4.407810640454886e-05
01115,St. Clair,AL,2,2.2746400382139527e-05
01117,Shelby,AL,5,2.3404623817481383e-05
01123,Tallapoosa,AL,1,2.462265776967966e-05
01127,Walker,AL,1,1.565067689177557e-05
02020,Anchorage,AK,5,1.6987273134967282e-05
02275,Wrangell,AK,1,0.0003966679888932963
04003,Cochise,AZ,4,3.203485392106612e-05
04005,Coconino,AZ,2,1.4184296565272587e-05
04013,Maricopa,AZ,61,1.4096927701710858e-05
04015,Mohave,AZ,5,2.415260582464242e-05
04017,Navajo,AZ,2,1.833533494073103e-05
04019,Pima,AK,10,9.74287576566825e-06
04019,Pima,AS,2,1.9485751531336498e-06
04019,Pima,AZ,16,1.5588601225069198e-05
04021,Pinal,AZ,9,2.085438081026221e-05
04025,Yavapai,AZ,5,2.1921940354784683e-05
04027,Yuma,AZ,2,9.546220412683108e-06
05007,Benton,AR,2,7.502297578633457e-06
05009,Boone,AS,1,2.6695854133853012e-05
05015,Carroll,AR,1,3.5887313834559486e-05
05023,Cleburne,AR,1,3.990582225946766e-05
05031,Craighead,AR,2,1.8658805090122027e-05
05035,Crittenden,AR,1,2.0527136874948684e-05
05043,Drew,AR,1,5.443658138268917e-05
05045,Faulkner,AR,2,1.619039909333765e-05
05047,Franklin,AR,1,5.6151384131618846e-05
05051,Garland,AR,3,3.0510439655435435e-05
05053,Grant,AR,2,0.00011047892614483787
05059,Hot Spring,AR,4,0.00011902636433970124
05071,Johnson,AR,1,3.787735313056323e-05
05085,Lonoke,AR,2,2.748083211959658e-05
05107,Phillips,AR,1,5.3766331523200175e-05
05113,Polk,AR,1,4.963518141658808e-05
05115,Pope,AR,2,3.1429738818870415e-05
05119,Pulaski,AR,8,2.034174125305126e-05
05119,Pulaski,AZ,1,2.5427176566314075e-06
05141,Van Buren,AR,1,6.041565973900435e-05
05143,Washington,AR,4,1.718715088599763e-05
06001,Alameda,CA,15,9.035077785996352e-06
06005,Amador,IN,1,2.5954475849360223e-05
06007,Butte,CA,3,1.3117850771329625e-05
06013,Contra Costa,CA,23,2.0077954842060695e-05
06017,El Dorado,AR,1,5.300006890008957e-06
06017,El Dorado,CA,8,4.2400055120071655e-05
06017,El Dorado,TN,3,1.590002067002687e-05
06019,Fresno,CA,9,9.134848635558108e-06
06019,Fresno,OR,1,1.0149831817286788e-06
06023,Humboldt,CA,2,1.4651263305178488e-05
06025,Imperial,CA,1,5.505122516501604e-06
06029,Kern,CA,6,6.761660483503802e-06
