c_fips,county,state,total,per_capita
01009,Blount,AL,2,3.460986034921349e-05
01043,Cullman,AL,1,1.206752989730532e-05
01045,Dale,AL,1,2.026670990231446e-05
01047,Dallas,AL,1,2.5485498751210563e-05
01051,Elmore,AL,2,2.456338581710103e-05
01055,Etowah,AL,2,1.941615618356034e-05
01061,Geneva,AL,1,3.7900322152738296e-05
01065,Hale,AL,2,0.00013512600499966218
01069,Houston,AL,1,9.58056295387917e-06
01073,Jefferson,AL,9,1.3644653797231348e-05
01077,Lauderdale,AL,2,2.1606672140356942e-05
01081,Lee,AL,3,1.858275520317146e-05
01083,Limestone,AL,1,1.0623605651758207e-05
01089,Madison,AL,3,8.292744953864696e-06
01103,Morgan,AL,1,8.409155888931868e-06
01117,Shelby,AL,4,1.8723699053985105e-05
01125,Tuscaloosa,AL,2,9.633076130200657e-06
01131,Wilcox,AL,1,9.353661958656815e-05
02020,Anchorage,AK,2,6.794909253986913e-06
02090,Fairbanks North Star,AK,1,1.0032605969400551e-05
02150,Kodiak Island,AK,1,7.400828892835997e-05
02220,Sitka,AK,1,0.0001157273463719477
02290,Yukon-Koyukuk,AK,1,0.00018487705675725643
04001,Apache,AZ,1,1.3977217136068208e-05
04003,Cochise,AZ,2,1.601742696053306e-05
04005,Coconino,AZ,2,1.4184296565272587e-05
04007,Gila,AZ,5,9.332188584866924e-05
04013,Maricopa,AZ,48,1.109266442101838e-05
04015,Mohave,AZ,4,1.9322084659713937e-05
04017,Navajo,AZ,2,1.833533494073103e-05
04019,Pima,AZ,11,1.0717163342235074e-05
04021,Pinal,AZ,5,1.1585767116812338e-05
04025,Yavapai,AZ,8,3.507510456765549e-05
04027,Yuma,AZ,1,4.773110206341554e-06
05003,Ashley,AR,1,4.923440500221555e-05
05015,Carroll,AR,1,3.5887313834559486e-05
05017,Chicot,AR,1,9.392317084624777e-05
05031,Craighead,AR,1,9.329402545061014e-06
05033,Crawford,AR,2,3.179953572677839e-05
05045,Faulkner,AR,1,8.095199546668826e-06
05047,Franklin,AR,2,0.00011230276826323769
05085,Lonoke,AR,1,1.374041605979829e-05
05087,Madison,AR,2,0.00012270691453463402
05115,Pope,AR,1,1.5714869409435208e-05
05119,Pulaski,AR,2,5.085435313262815e-06
05131,Sebastian,AR,1,7.825583397242264e-06
05135,Sharp,AR,1,5.83192395171167e-05
05141,Van Buren,AR,1,6.041565973900435e-05
06001,Alameda,CA,16,9.637416305062776e-06
06007,Butte,CA,3,1.3117850771329625e-05
06009,Calaveras,CA,1,2.1890939340207088e-05
06013,Contra Costa,CA,9,7.856591025154186e-06
06017,El Dorado,TN,1,5.300006890008957e-06
06019,Fresno,CA,4,4.059932726914715e-06
06029,Kern,CA,5,5.634717069586502e-06
