c_fips,county,state,total,per_capita
01089,Madison,AL,2,5.3632387526179306e-06
04005,Coconino,AZ,3,2.0909420390866767e-05
04013,Maricopa,AZ,8,1.7835588866490361e-06
04015,Mohave,AZ,3,1.4138872000791777e-05
04023,Santa Cruz,AZ,1,2.1506301346294466e-05
04025,Yavapai,AZ,2,8.50705447492333e-06
05005,Baxter,AR,1,2.384813507583707e-05
05019,Clark,AR,1,4.4802867383512545e-05
05045,Faulkner,AR,1,7.936067043894387e-06
05047,Franklin,AR,1,5.6449336720293535e-05
05123,St. Francis,AR,1,4.000960230455309e-05
05143,Washington,AR,1,4.180829225668619e-06
06001,Alameda,CA,4,2.393304968680613e-06
06009,Calaveras,CA,1,2.1784119376974187e-05
06013,Contra Costa,CA,2,1.7338144090380279e-06
06017,El Dorado,CA,1,5.185565459985584e-06
06019,Fresno,CA,1,1.0008998089282265e-06
06023,Humboldt,CA,1,7.376916153970994e-06
06029,Kern,CA,2,2.221723568710134e-06
06037,Los Angeles,CA,13,1.2949358941985577e-06
06047,Merced,CA,1,3.6012676462114663e-06
06057,Nevada,CA,1,1.0024560172422434e-05
06059,Orange,CA,4,1.2595679933696342e-06
06061,Placer,CA,2,5.02097512357875e-06
06065,Riverside,CA,3,1.2143064731439933e-06
06067,Sacramento,CA,3,1.9329174554043727e-06
06071,San Bernardino,CA,3,1.376093133983308e-06
06073,San Diego,CA,4,1.1982038923653443e-06
06077,San Joaquin,CA,2,2.624162236206091e-06
06081,San Mateo,CA,2,2.609014405673041e-06
06083,Santa Barbara,CA,1,2.2396466733408138e-06
06085,Santa Clara,CA,2,1.0374240346250645e-06
06107,Tulare,CA,1,2.145025150419889e-06
08031,Denver,CO,1,1.3751167130310185e-06
08035,Douglas,CO,1,2.847753407336952e-06
08039,Elbert,CO,1,3.7412548168655765e-05
08067,La Plata,CO,1,1.7786947937603388e-05
08077,Mesa,CO,1,6.484663770183516e-06
08123,Weld,CO,1,3.0817400737152224e-06
09001,Fairfield,CT,11,1.1660793866846455e-05
09003,Hartford,CT,1,1.1214282510204997e-06
09005,Litchfield,CT,1,5.545296756555927e-06
09013,Tolland,CT,1,6.634775512370539e-06
09015,Windham,CT,1,8.562963470397836e-06
11001,District of Columbia,DC,1,1.4169343491807993e-06
11001,District of Columbia,MD,1,1.4169343491807993e-06
12011,Broward,FL,2,1.0241819602637884e-06
12013,Calhoun,FL,1,7.089684509039348e-05
12017,Citrus,FL,1,6.681946049967593e-06
12019,Clay,FL,1,4.5609618156276795e-06
12021,Collier,FL,1,2.5980639227647555e-06
12031,Duval,FL,2,2.0882167151306963e-06
12053,Hernando,FL,1,5.156765676567657e-06
12057,Hillsborough,FL,3,2.038087784517055e-06
12073,Leon,FL,1,3.406203377591269e-06
12081,Manatee,FL,1,2.4798327600786603e-06
12083,Marion,FL,1,2.735386879443294e-06
12086,Miami-Dade,FL,1,3.680611275920705e-07
12099,Palm Beach,FL,1,6.681053201226642e-07
12101,Pasco,FL,1,1.8052268538325868e-06
12105,Polk,FL,2,2.7594694644007743e-06
12115,Sarasota,FL,1,2.3055180268454517e-06
12119,Sumter,FL,1,7.5517293460202386e-06
12127,Volusia,FL,3,5.422170169388596e-06
13051,Chatham,GA,1,3.455066855543655e-06
13067,Cobb,GA,1,1.3155454053918944e-06
13089,DeKalb,GA,1,1.3170077058120866e-06
13113,Fayette,GA,1,8.739654434063677e-06
13117,Forsyth,GA,1,4.094132289602542e-06
13121,Fulton,GA,1,9.399052763462498e-07
13163,Jefferson,GA,1,6.509569066527795e-05
13231,Pike,GA,1,5.273705305347537e-05
13297,Walton,GA,1,1.0571606778514267e-05
16001,Ada,ID,1,2.076468010972057e-06
16039,Elmore,ID,1,3.6349096724946385e-05
16049,Idaho,ID,1,5.999880002399952e-05
16055,Kootenai,ID,1,6.03511228326403e-06
17031,Cook,IL,5,9.708298634255965e-07
17043,DuPage,IL,1,1.0835163573046882e-06
17097,Lake,IL,1,1.435678034843906e-06
17143,Peoria,IL,1,5.581011167603347e-06
17183,Vermilion,IL,1,1.319992608041395e-05
17197,Will,IL,1,1.4477164444663211e-06
18003,Allen,IN,1,2.636442489961745e-06
18057,Hamilton,IN,1,2.9584835996461655e-06
18177,Wayne,IN,1,1.5178191973772083e-05
19169,Story,IA,1,1.0296858428493466e-05
19179,Wapello,WI,1,2.8596757127741712e-05
20015,Butler,KS,1,1.4945225747634917e-05
20121,Miami,KS,1,2.9208166603382307e-05
20177,Shawnee,KS,1,5.653710247349823e-06
20185,Stafford,KS,1,0.00024061597690086623
21047,Christian,KY,1,1.4192248194036418e-05
21097,Harrison,KY,1,5.2949274594938046e-05
21117,Kenton,KY,1,5.988095665816357e-06
21145,McCracken,KY,1,1.5286312635666025e-05
22043,Grant,LA,1,4.466479074545536e-05
22045,Iberia,LA,1,1.4320492624946298e-05
22051,Jefferson,LA,1,2.3121761508278745e-06
22061,Lincoln,LA,1,2.1394035342946386e-05
22103,St. Tammany,LA,1,3.839965593908278e-06
22115,Vernon,LA,1,2.1084146829998525e-05
23001,Androscoggin,ME,1,9.235571728067826e-06
23007,Franklin,ME,1,3.311367926090268e-05
23021,Piscataquis,ME,1,5.957700327673518e-05
23023,Sagadahoc,ME,1,2.788933511825078e-05
24003,Anne Arundel,MD,1,1.7264179934188947e-06
24005,Baltimore,MD,1,1.2086490929088557e-06
24021,Frederick,MD,1,3.8528667254870985e-06
24043,Washington,MD,1,6.620368224880668e-06
25009,Essex,MA,1,1.267372508662491e-06
25021,Norfolk,MA,1,1.4148774362420855e-06
26023,Branch,MI,1,2.2979525243008478e-05
26095,Luce,MI,1,0.00016053941242575052
26099,Macomb,MI,1,1.1442014160636726e-06
26125,Oakland,MI,2,1.5903510222776371e-06
26159,Van Buren,MI,1,1.3214054468332518e-05
26163,Wayne,MI,2,1.1432863652239726e-06
27003,Anoka,MN,1,2.80174044116205e-06
27053,Hennepin,MN,2,1.5799747678029582e-06
27123,Ramsey,MN,1,1.8171212801255994e-06
27141,Sherburne,MN,1,1.0284045332071823e-05
27171,Wright,MN,1,7.226634484054431e-06
28043,Grenada,MS,1,4.817419789960497e-05
28047,Harrison,MS,1,4.805843906189927e-06
28121,Rankin,MS,1,6.440352673712412e-06
28133,Sunflower,MS,1,3.982477100756671e-05
29019,Boone,MO,1,5.541302095166322e-06
29097,Jasper,MO,1,8.242120532770671e-06
29113,Lincoln,MO,3,5.083625641807737e-05
29113,Lincoln,MT,1,1.694541880602579e-05
31109,Lancaster,NE,1,3.133912062427528e-06
32003,Clark,NV,1,4.411670633493845e-07
32007,Elko,NV,1,1.8947288642995187e-05
34001,Atlantic,NJ,1,3.7926195623317027e-06
34003,Bergen,MI,1,1.0727288720685002e-06
34003,Bergen,NJ,1,1.0727288720685002e-06
34023,Middlesex,NJ,1,1.2120301262208173e-06
34025,Monmouth,NJ,1,1.6160440856826575e-06
34027,Morris,NJ,1,2.033160853520926e-06
34029,Ocean,NJ,3,4.940825381349372e-06
34031,Passaic,NJ,2,3.985445154296509e-06
35055,Taos,TX,1,3.055954527396632e-05
36021,Columbia,NY,1,1.68177460856696e-05
36023,Cortland,NY,1,2.1016792417141297e-05
36027,Dutchess,NY,2,6.797680631368577e-06
36029,Erie,NY,1,1.088492242315789e-06
36047,Kings,NY,9,3.515758214276088e-06
36051,Livingston,NY,1,1.5894713418317068e-05
36059,Nassau,NY,2,1.473921899826372e-06
36061,New York,NY,2,1.227968706445485e-06
36067,Onondaga,NY,1,2.1714206302331235e-06
36069,Ontario,NY,1,9.109376281006039e-06
36087,Rockland,NY,1,3.0694713449502594e-06
36091,Saratoga,NY,1,4.3504174225516935e-06
36103,Suffolk,NY,4,2.7089240763076823e-06
36119,Westchester,NY,1,1.0335853214346992e-06
37001,Alamance,NC,1,5.899391772708234e-06
37021,Buncombe,NC,1,3.828615840515179e-06
37063,Durham,NC,2,6.221072015129647e-06
37065,Edgecombe,NC,1,1.9428038545228472e-05
37071,Gaston,NC,1,4.453767664756001e-06
37081,Guilford,NC,1,1.8615941948046629e-06
37107,Lenoir,NC,3,5.362026130940678e-05
37109,Lincoln,NC,1,1.1612918210217046e-05
37119,Mecklenburg,NC,2,1.8012241119064516e-06
37125,Moore,NC,1,9.912767644726408e-06
37127,Nash,NC,1,1.0604678784279624e-05
37141,Pender,NC,1,1.585791309863622e-05
37147,Pitt,NC,2,1.1065496674818249e-05
37183,Wake,NC,5,4.497369488586126e-06
37191,Wayne,NC,1,8.121431645970551e-06
39007,Ashtabula,OH,1,1.0283728057095258e-05
39025,Clermont,OH,1,4.844304067277695e-06
39035,Cuyahoga,OH,1,8.096693957923101e-07
39041,Delaware,OH,1,4.780640318964322e-06
39049,Franklin,OH,1,7.594421441785722e-07
39057,Greene,OH,1,5.919366391021505e-06
39109,Miami,OH,1,9.346930000841223e-06
39123,Ottawa,OH,1,2.4676125848241827e-05
39129,Pickaway,OH,1,1.7106591169577638e-05
40013,Bryan,OK,1,2.0835503698301906e-05
40119,Payne,OK,2,2.445466105839773e-05
41009,Columbia,OR,1,1.9100737288459333e-05
41029,Jackson,OR,1,4.526033746107611e-06
41033,Josephine,OR,3,3.429080892018243e-05
41039,Lane,OR,1,2.6173419845210394e-06
41051,Multnomah,OR,3,3.6906951424300768e-06
41059,Umatilla,OR,1,1.2828736369467608e-05
42003,Allegheny,PA,2,1.6446759782738303e-06
42045,Delaware,PA,2,3.5289114896064733e-06
42061,Huntingdon,PA,1,2.2151337940811624e-05
42079,Luzerne,PA,1,3.1504298761566015e-06
42083,McKean,PA,1,2.4615384615384616e-05
42085,Mercer,PA,1,9.138762977043427e-06
42133,York,PA,1,2.2268838323780003e-06
44005,Newport,RI,1,1.2182939012207305e-05
45051,Horry,SC,1,2.8242125389388305e-06
45055,Kershaw,SC,1,1.5026070231852264e-05
45063,Lexington,SC,1,3.3472803347280334e-06
45085,Sumter,SC,1,9.370227040601194e-06
45091,York,LA,1,3.5589848351656173e-06
45091,York,SC,1,3.5589848351656173e-06
47021,Cheatham,TN,1,2.458996237735756e-05
47047,Fayette,TN,1,2.4311380157051517e-05
47065,Hamilton,TN,1,2.7188393818446783e-06
47093,Knox,TN,1,2.1262435867177816e-06
47109,McNairy,TN,1,3.891959212267455e-05
47187,Williamson,TN,1,4.1944197439726185e-06
48005,Angelina,TX,1,1.1532030213919161e-05
48029,Bexar,TX,3,1.4973392281915036e-06
48049,Brown,TX,1,2.6410310585252483e-05
48073,Cherokee,TX,1,1.8994795426053262e-05
48085,Collin,TX,5,4.832178442685531e-06
48113,Dallas,TX,1,3.7943233886646866e-07
48121,Denton,TX,2,2.2542653518288293e-06
48139,Ellis,TX,1,5.410494194539729e-06
48201,Harris,TX,6,1.2729866919849575e-06
48309,McLennan,TX,1,3.896766852542445e-06
48325,Medina,TX,2,3.877171215880893e-05
48339,Montgomery,TX,9,1.481747342321503e-05
48347,Nacogdoches,TX,1,1.5336482424391142e-05
48363,Palo Pinto,TX,1,3.4259481311452945e-05
48373,Polk,TX,1,1.94730590228419e-05
48375,Potter,TX,1,8.516799386790445e-06
48379,Rains,TX,1,7.99105002397315e-05
48381,Randall,TX,1,7.261478582268921e-06
48407,San Jacinto,TX,1,3.465123531653903e-05
48423,Smith,TX,2,8.592873929650142e-06
48439,Tarrant,TX,2,9.51241727169604e-07
48441,Taylor,TX,2,1.4489183824275178e-05
48451,Tom Green,TX,1,8.389261744966442e-06
48453,Travis,TX,1,7.849576986296208e-07
48491,Williamson,TX,2,3.386667705244763e-06
49035,Salt Lake,UT,1,8.617443256290518e-07
51013,Arlington,VA,1,4.222224098766266e-06
51059,Fairfax,VA,1,8.71435393522795e-07
51069,Frederick,VA,1,1.1196578325663677e-05
51085,Hanover,VA,1,9.279364549115677e-06
51153,Prince William,VA,1,2.1261441313106616e-06
51173,Smyth,VA,1,3.321817698644698e-05
51700,Newport News City,VA,1,5.579578741804994e-06
51810,Virginia Beach City,VA,1,2.2223506247027605e-06
53033,King,WA,2,8.877911844110971e-07
53039,Klickitat,WA,1,4.459308807134894e-05
53045,Mason,WA,2,2.9954469206805657e-05
53063,Spokane,WA,1,1.9127846701785395e-06
54005,Boone,WV,2,9.320967516428205e-05
54011,Cabell,WV,2,2.1752134428190765e-05
54015,Clay,WV,1,0.00011753643629525152
54039,Kanawha,WV,5,2.8070333026431024e-05
54059,Mingo,WV,1,4.269125683060109e-05
54061,Monongalia,WV,1,9.468620990039011e-06
54079,Putnam,WV,1,1.771479185119575e-05
54089,Summers,WV,1,7.953551260637875e-05
55079,Milwaukee,WI,1,1.0573887151246768e-06
55097,Portage,WI,1,1.4129881874187532e-05
55133,Waukesha,WI,1,2.4740350026472175e-06
